Zip Code,Name,State,Latitude,Longitute,Locality
20101,Dulles,VA,38.9886,-77.4507,Loudoun
20102,Dulles,VA,38.9886,-77.4507,Loudoun
20103,Dulles,VA,38.9886,-77.4507,Loudoun
20104,Dulles,VA,38.9886,-77.4507,Loudoun
20105,Aldie,VA,38.975556,-77.641667,Loudoun
20106,Amissville,VA,38.671389,-77.995833,Culpeper
20107,Arcola,VA,38.951667,-77.534444,Loudoun
20108,Manassas,VA,38.7518,-77.4728,Manassas City
20109,Manassas,VA,38.841111,-77.538056,Prince William
20110,Manassas,VA,38.7509,-77.48,Manassas City
20111,Manassas,VA,38.783889,-77.47,Prince William
20112,Manassas,VA,38.6811,-77.4324,Prince William
20113,Manassas,VA,38.7776,-77.5197,Manassas Park City
20115,Marshall,VA,38.8237,-77.897,Fauquier
20116,Marshall,VA,38.8256,-77.8947,Fauquier
20117,Middleburg,VA,38.9871,-77.7465,Loudoun
20118,Middleburg,VA,39.0039,-77.7226,Loudoun
20119,Catlett,VA,38.653611,-77.640833,Fauquier
20120,Centreville,VA,38.851667,-77.445,Fairfax
20121,Centreville,VA,38.8261,-77.4418,Fairfax
20122,Centreville,VA,38.8422,-77.4715,Fairfax
20124,Clifton,VA,38.78,-77.386944,Fairfax
20128,Orlean,VA,38.749722,-77.962222,Fauquier
20129,Paeonian Springs,VA,39.149167,-77.619444,Loudoun
20130,Paris,VA,39.004444,-77.951667,Clarke
20131,Philomont,VA,39.056111,-77.740556,Loudoun
20132,Purcellville,VA,39.1545,-77.7186,Loudoun
20134,Purcellville,VA,39.1393,-77.7138,Loudoun
20135,Bluemont,VA,39.111111,-77.834167,Clarke
20136,Bristow,VA,38.722778,-77.536389,Prince William
20137,Broad Run,VA,38.823611,-77.713333,Fauquier
20138,Calverton,VA,38.631944,-77.670833,Fauquier
20139,Casanova,VA,38.6575,-77.717222,Fauquier
20140,Rectortown,VA,38.921111,-77.861667,Fauquier
20141,Round Hill,VA,39.1282,-77.7775,Loudoun
20142,Round Hill,VA,39.1031,-77.7923,Loudoun
20143,Catharpin,VA,38.854167,-77.572222,Prince William
20144,Delaplane,VA,38.915,-77.920556,Fauquier
20146,Ashburn,VA,39.0322,-77.4985,Loudoun
20147,Ashburn,VA,39.0413,-77.4855,Loudoun
20148,Ashburn,VA,38.981944,-77.538889,Loudoun
20149,Ashburn,VA,39.0322,-77.4985,Loudoun
20151,Chantilly,VA,38.8865,-77.4393,Fairfax
20152,Chantilly,VA,38.9067,-77.5102,Loudoun
20153,Chantilly,VA,38.8857,-77.4403,Fairfax
20155,Gainesville,VA,38.7997,-77.618,Prince William
20156,Gainesville,VA,38.8004,-77.636,Prince William
20158,Hamilton,VA,39.1399,-77.6608,Loudoun
20159,Hamilton,VA,39.1376,-77.6636,Loudoun
20160,Lincoln,VA,39.115278,-77.695278,Loudoun
20163,Sterling,VA,39.0061,-77.4288,Loudoun
20164,Sterling,VA,39.0133,-77.3948,Loudoun
20165,Sterling,VA,39.0441,-77.3882,Loudoun
20166,Sterling,VA,38.9982,-77.4339,Loudoun
20167,Sterling,VA,39.0061,-77.4288,Loudoun
20168,Haymarket,VA,38.8128,-77.6362,Prince William
20169,Haymarket,VA,38.8517,-77.6418,Prince William
20170,Herndon,VA,38.9764,-77.3839,Fairfax
