,,
Saltville,Washington County,70096
Saxis,Accomack County,70576
Scottsburg,Halifax County,70752
Scottsville,Albemarle County,70800
Scottsville,Fluvanna County,70800
Shenandoah,Page County,71776
Smithfield,Isle of Wight County,73200
South Boston,Halifax County,73712
South Hill,Mecklenburg County,73904
St. Charles,Lee County,69792
St. Paul,Russell County,69936
St. Paul,Wise County,69936
Stanardsville,Greene County,75008
Stanley,Page County,75024
Stephens City,Frederick County,75344
Stony Creek,Sussex County,75840
Strasburg,Shenandoah County,76000
Stuart,Patrick County,76256
Surry,Surry County,76880
Tangier,Accomack County,77520
Tappahannock,Essex County,77568
Tazewell,Tazewell County,77792
The Plains,Fauquier County,78192
Timberville,Rockingham County,78736
Toms Brook,Shenandoah County,79024
Troutdale,Grayson County,79456
Troutville,Botetourt County,79472
Urbanna,Middlesex County,80272
Victoria,Lunenburg County,81024
Vienna,Fairfax County,81072
Vinton,Roanoke County,81280
Virgilina,Halifax County,81312
Wachapreague,Accomack County,82320
Wakefield,Sussex County,82384
Warrenton,Fauquier County,83136
Warsaw,Richmond County,83168
Washington,Rappahannock County,83248
Waverly,Sussex County,83600
Weber City,Scott County,83808
West Point,King William County,84960
White Stone,Lancaster County,85600
Windsor,Isle of Wight County,86784
Wise,Wise County,87072
Woodstock,Shenandoah County,87712
Wytheville,Wythe County,88000
