"RecordNumber","Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Xaxis","Yaxis","Zaxis","WorldRegion","Country","LocationText","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages","Notes"
18808,"24312","STANDARD","AUSTINVILLE","VA","PRIMARY",36.82,-80.86,0.12,-0.79,0.59,"NA","US","Austinville, VA","NA-US-VA-AUSTINVILLE","false",948,1722,25043955,
18809,"24054","STANDARD","AXTON","VA","PRIMARY",36.66,-79.71,0.14,-0.78,0.59,"NA","US","Axton, VA","NA-US-VA-AXTON","false",2734,5085,73343519,
18810,"24602","STANDARD","BANDY","VA","PRIMARY",37.14,-81.70,0.11,-0.78,0.60,"NA","US","Bandy, VA","NA-US-VA-BANDY","false",293,544,6926587,
18811,"24313","STANDARD","BARREN SPRINGS","VA","PRIMARY",36.91,-80.80,0.12,-0.78,0.60,"NA","US","Barren Springs, VA","NA-US-VA-BARREN SPRINGS","false",384,725,10801974,
18812,"24313","STANDARD","BARREN SPGS","VA","ACCEPTABLE",36.91,-80.80,0.12,-0.78,0.60,"NA","US","Barren Spgs, VA","NA-US-VA-BARREN SPGS","false",384,725,10801974,
18813,"24055","STANDARD","BASSETT","VA","PRIMARY",36.76,-79.98,0.13,-0.78,0.59,"NA","US","Bassett, VA","NA-US-VA-BASSETT","false",5377,9807,130254046,
18814,"24055","STANDARD","BASSETT FORKS","VA","NOT ACCEPTABLE",36.76,-79.98,0.13,-0.78,0.59,"NA","US","Bassett Forks, VA","NA-US-VA-BASSETT FORKS","false",5377,9807,130254046,
18815,"24055","STANDARD","OAKLEVEL","VA","NOT ACCEPTABLE",36.76,-79.98,0.13,-0.78,0.59,"NA","US","Oaklevel, VA","NA-US-VA-OAKLEVEL","false",5377,9807,130254046,
18816,"24055","STANDARD","PHILPOTT","VA","NOT ACCEPTABLE",36.76,-79.98,0.13,-0.78,0.59,"NA","US","Philpott, VA","NA-US-VA-PHILPOTT","false",5377,9807,130254046,
18817,"24055","STANDARD","SANVILLE","VA","NOT ACCEPTABLE",36.76,-79.98,0.13,-0.78,0.59,"NA","US","Sanville, VA","NA-US-VA-SANVILLE","false",5377,9807,130254046,
18818,"24314","STANDARD","BASTIAN","VA","PRIMARY",37.15,-81.15,0.12,-0.78,0.60,"NA","US","Bastian, VA","NA-US-VA-BASTIAN","false",615,1149,19745417,
18819,"24314","STANDARD","CLEARFORK","VA","NOT ACCEPTABLE",37.15,-81.15,0.12,-0.78,0.60,"NA","US","Clearfork, VA","NA-US-VA-CLEARFORK","false",615,1149,19745417,
18820,"24314","STANDARD","COVE CREEK","VA","NOT ACCEPTABLE",37.15,-81.15,0.12,-0.78,0.60,"NA","US","Cove Creek, VA","NA-US-VA-COVE CREEK","false",615,1149,19745417,
18821,"24314","STANDARD","GRAPEFIELD","VA","NOT ACCEPTABLE",37.15,-81.15,0.12,-0.78,0.60,"NA","US","Grapefield, VA","NA-US-VA-GRAPEFIELD","false",615,1149,19745417,
18822,"24314","STANDARD","HICKSVILLE","VA","NOT ACCEPTABLE",37.15,-81.15,0.12,-0.78,0.60,"NA","US","Hicksville, VA","NA-US-VA-HICKSVILLE","false",615,1149,19745417,
18823,"24523","STANDARD","BEDFORD","VA","PRIMARY",37.32,-79.52,0.14,-0.78,0.60,"NA","US","Bedford, VA","NA-US-VA-BEDFORD","false",8537,15102,259261665,
18824,"24058","PO BOX","BELSPRING","VA","PRIMARY",37.19,-80.61,0.12,-0.78,0.60,"NA","US","Belspring, VA","NA-US-VA-BELSPRING","false",,,,
18825,"24218","PO BOX","BEN HUR","VA","PRIMARY",36.73,-83.08,0.09,-0.79,0.59,"NA","US","Ben Hur, VA","NA-US-VA-BEN HUR","false",,,,
18826,"24059","STANDARD","BENT MOUNTAIN","VA","PRIMARY",37.15,-80.11,0.13,-0.78,0.60,"NA","US","Bent Mountain, VA","NA-US-VA-BENT MOUNTAIN","false",482,877,20267779,
18827,"24526","STANDARD","BIG ISLAND","VA","PRIMARY",37.53,-79.36,0.14,-0.77,0.60,"NA","US","Big Island, VA","NA-US-VA-BIG ISLAND","false",663,1229,26442879,
18828,"24526","STANDARD","SNOWDEN","VA","NOT ACCEPTABLE",37.53,-79.36,0.14,-0.77,0.60,"NA","US","Snowden, VA","NA-US-VA-SNOWDEN","false",663,1229,26442879,
18829,"24603","STANDARD","BIG ROCK","VA","PRIMARY",37.31,-82.22,0.10,-0.78,0.60,"NA","US","Big Rock, VA","NA-US-VA-BIG ROCK","false",446,851,13562279,
18830,"24603","STANDARD","CONAWAY","VA","ACCEPTABLE",37.31,-82.22,0.10,-0.78,0.60,"NA","US","Conaway, VA","NA-US-VA-CONAWAY","false",446,851,13562279,
18831,"24219","STANDARD","BIG STONE GAP","VA","PRIMARY",36.86,-82.77,0.10,-0.79,0.59,"NA","US","Big Stone Gap, VA","NA-US-VA-BIG STONE GAP","false",3762,6989,129072494,
18832,"24220","STANDARD","BIRCHLEAF","VA","PRIMARY",37.15,-82.23,0.10,-0.78,0.60,"NA","US","Birchleaf, VA","NA-US-VA-BIRCHLEAF","false",283,557,8788965,
18833,"24604","PO BOX","BISHOP","VA","PRIMARY",37.21,-81.53,0.11,-0.78,0.60,"NA","US","Bishop, VA","NA-US-VA-BISHOP","false",,,,
18834,"24060","STANDARD","BLACKSBURG","VA","PRIMARY",37.23,-80.42,0.13,-0.78,0.60,"NA","US","Blacksburg, VA","NA-US-VA-BLACKSBURG","false",15355,24471,602978777,
18835,"24061","UNIQUE","BLACKSBURG","VA","PRIMARY",37.23,-80.42,0.13,-0.78,0.60,"NA","US","Blacksburg, VA","NA-US-VA-BLACKSBURG","false",,,,
18836,"24061","UNIQUE","VIRGINIA TECH","VA","NOT ACCEPTABLE",37.23,-80.42,0.13,-0.78,0.60,"NA","US","Virginia Tech, VA","NA-US-VA-VIRGINIA TECH","false",,,,
18837,"24062","PO BOX","BLACKSBURG","VA","PRIMARY",37.23,-80.42,0.13,-0.78,0.60,"NA","US","Blacksburg, VA","NA-US-VA-BLACKSBURG","false",252,387,10750603,
18838,"24063","PO BOX","BLACKSBURG","VA","PRIMARY",37.23,-80.42,0.13,-0.78,0.60,"NA","US","Blacksburg, VA","NA-US-VA-BLACKSBURG","false",,,,
18839,"24221","STANDARD","BLACKWATER","VA","PRIMARY",36.62,-83.05,0.09,-0.79,0.59,"NA","US","Blackwater, VA","NA-US-VA-BLACKWATER","false",303,578,7271034,
18840,"24527","STANDARD","BLAIRS","VA","PRIMARY",36.68,-79.38,0.14,-0.78,0.59,"NA","US","Blairs, VA","NA-US-VA-BLAIRS","false",1448,2606,43651777,
18841,"24315","STANDARD","BLAND","VA","PRIMARY",37.10,-81.11,0.12,-0.78,0.60,"NA","US","Bland, VA","NA-US-VA-BLAND","false",1362,2512,42917713,
18842,"24315","STANDARD","BLAND CORRECT","VA","NOT ACCEPTABLE",37.10,-81.11,0.12,-0.78,0.60,"NA","US","Bland Correct, VA","NA-US-VA-BLAND CORRECT","false",1362,2512,42917713,
18843,"24315","STANDARD","BLAND CORRECTIONAL FARM","VA","NOT ACCEPTABLE",37.10,-81.11,0.12,-0.78,0.60,"NA","US","Bland Correctional Farm, VA","NA-US-VA-BLAND CORRECTIONAL FARM","false",1362,2512,42917713,
18844,"24605","STANDARD","BLUEFIELD","VA","PRIMARY",37.23,-81.26,0.12,-0.78,0.60,"NA","US","Bluefield, VA","NA-US-VA-BLUEFIELD","false",3826,6964,138004044,
18845,"24605","STANDARD","YARDS","VA","ACCEPTABLE",37.23,-81.26,0.12,-0.78,0.60,"NA","US","Yards, VA","NA-US-VA-YARDS","false",3826,6964,138004044,
18846,"24064","STANDARD","BLUE RIDGE","VA","PRIMARY",37.38,-79.82,0.14,-0.78,0.60,"NA","US","Blue Ridge, VA","NA-US-VA-BLUE RIDGE","false",2344,4356,100040652,
18847,"24178","PO BOX","VILLAMONT","VA","PRIMARY",37.39,-79.74,0.14,-0.78,0.60,"NA","US","Villamont, VA","NA-US-VA-VILLAMONT","false",,,,
18848,"24606","PO BOX","BOISSEVAIN","VA","PRIMARY",37.28,-81.38,0.11,-0.78,0.60,"NA","US","Boissevain, VA","NA-US-VA-BOISSEVAIN","false",,,,
18849,"24065","STANDARD","BOONES MILL","VA","PRIMARY",37.11,-79.95,0.13,-0.78,0.60,"NA","US","Boones Mill, VA","NA-US-VA-BOONES MILL","false",2898,5204,105394318,
18850,"24607","PO BOX","BREAKS","VA","PRIMARY",37.29,-82.28,0.10,-0.78,0.60,"NA","US","Breaks, VA","NA-US-VA-BREAKS","false",,,,
18851,"24201","STANDARD","BRISTOL","VA","PRIMARY",36.61,-82.16,0.10,-0.79,0.59,"NA","US","Bristol, VA","NA-US-VA-BRISTOL","false",6838,11729,182361998,
18852,"24202","STANDARD","BRISTOL","VA","PRIMARY",36.61,-82.16,0.10,-0.79,0.59,"NA","US","Bristol, VA","NA-US-VA-BRISTOL","false",5553,10332,205761392,
18853,"24203","PO BOX","BRISTOL","VA","PRIMARY",36.61,-82.16,0.10,-0.79,0.59,"NA","US","Bristol, VA","NA-US-VA-BRISTOL","false",,,,
18854,"24205","UNIQUE","BRISTOL","VA","PRIMARY",36.59,-82.18,0.10,-0.79,0.59,"NA","US","Bristol, VA","NA-US-VA-BRISTOL","false",,,,"no NWS data, "
18855,"24205","UNIQUE","BRISTOL MERCHANDISE RETURN","VA","NOT ACCEPTABLE",36.59,-82.18,0.10,-0.79,0.59,"NA","US","Bristol Merchandise Return, VA","NA-US-VA-BRISTOL MERCHANDISE RETURN","false",,,,
18856,"24209","PO BOX","BRISTOL","VA","PRIMARY",36.61,-82.16,0.10,-0.79,0.59,"NA","US","Bristol, VA","NA-US-VA-BRISTOL","false",257,434,6374187,
18857,"24316","STANDARD","BROADFORD","VA","PRIMARY",36.91,-81.66,0.11,-0.79,0.60,"NA","US","Broadford, VA","NA-US-VA-BROADFORD","false",,,,
18858,"24528","STANDARD","BROOKNEAL","VA","PRIMARY",37.05,-78.94,0.15,-0.78,0.60,"NA","US","Brookneal, VA","NA-US-VA-BROOKNEAL","false",1500,2724,41615099,
18859,"24066","STANDARD","BUCHANAN","VA","PRIMARY",37.52,-79.68,0.14,-0.78,0.60,"NA","US","Buchanan, VA","NA-US-VA-BUCHANAN","false",2246,4049,81273036,
18860,"24066","STANDARD","LITHIA","VA","ACCEPTABLE",37.52,-79.68,0.14,-0.78,0.60,"NA","US","Lithia, VA","NA-US-VA-LITHIA","false",2246,4049,81273036,
18861,"24529","STANDARD","BUFFALO JUNCTION","VA","PRIMARY",36.60,-78.63,0.15,-0.78,0.59,"NA","US","Buffalo Junction, VA","NA-US-VA-BUFFALO JUNCTION","false",727,1294,20758907,
18862,"24529","STANDARD","BUFFALO JCT","VA","ACCEPTABLE",36.60,-78.63,0.15,-0.78,0.59,"NA","US","Buffalo Jct, VA","NA-US-VA-BUFFALO JCT","false",727,1294,20758907,
18863,"24530","STANDARD","CALLANDS","VA","PRIMARY",36.81,-79.58,0.14,-0.78,0.59,"NA","US","Callands, VA","NA-US-VA-CALLANDS","false",497,892,14845524,
18864,"24067","STANDARD","CALLAWAY","VA","PRIMARY",37.01,-80.05,0.13,-0.78,0.60,"NA","US","Callaway, VA","NA-US-VA-CALLAWAY","false",961,1793,30292719,
18865,"24317","STANDARD","CANA","VA","PRIMARY",36.58,-80.66,0.13,-0.79,0.59,"NA","US","Cana, VA","NA-US-VA-CANA","false",1395,2664,36454128,
18866,"24069","STANDARD","CASCADE","VA","PRIMARY",36.56,-79.66,0.14,-0.79,0.59,"NA","US","Cascade, VA","NA-US-VA-CASCADE","false",826,1504,22145594,
18867,"24069","STANDARD","LEAKESVILLE JUNCTION","VA","NOT ACCEPTABLE",36.56,-79.66,0.14,-0.79,0.59,"NA","US","Leakesville Junction, VA","NA-US-VA-LEAKESVILLE JUNCTION","false",826,1504,22145594,
18868,"24224","STANDARD","CASTLEWOOD","VA","PRIMARY",36.87,-82.28,0.10,-0.79,0.60,"NA","US","Castlewood, VA","NA-US-VA-CASTLEWOOD","false",2164,4093,64660388,
18869,"24224","STANDARD","DICKENSONVILLE","VA","NOT ACCEPTABLE",36.87,-82.28,0.10,-0.79,0.60,"NA","US","Dickensonville, VA","NA-US-VA-DICKENSONVILLE","false",2164,4093,64660388,
18870,"24070","STANDARD","CATAWBA","VA","PRIMARY",37.38,-80.11,0.13,-0.78,0.60,"NA","US","Catawba, VA","NA-US-VA-CATAWBA","false",683,1252,27142016,
18871,"24609","STANDARD","CEDAR BLUFF","VA","PRIMARY",37.08,-81.76,0.11,-0.78,0.60,"NA","US","Cedar Bluff, VA","NA-US-VA-CEDAR BLUFF","false",2841,5374,94090969,
18872,"24609","STANDARD","BELFAST MILLS","VA","NOT ACCEPTABLE",37.08,-81.76,0.11,-0.78,0.60,"NA","US","Belfast Mills, VA","NA-US-VA-BELFAST MILLS","false",2841,5374,94090969,
18873,"24609","STANDARD","INDIAN","VA","NOT ACCEPTABLE",37.08,-81.76,0.11,-0.78,0.60,"NA","US","Indian, VA","NA-US-VA-INDIAN","false",2841,5374,94090969,
18874,"24609","STANDARD","STEELEBURG","VA","NOT ACCEPTABLE",37.08,-81.76,0.11,-0.78,0.60,"NA","US","Steeleburg, VA","NA-US-VA-STEELEBURG","false",2841,5374,94090969,
18875,"24609","STANDARD","WARDELL","VA","NOT ACCEPTABLE",37.08,-81.76,0.11,-0.78,0.60,"NA","US","Wardell, VA","NA-US-VA-WARDELL","false",2841,5374,94090969,
18876,"24318","STANDARD","CERES","VA","PRIMARY",37.01,-81.35,0.12,-0.78,0.60,"NA","US","Ceres, VA","NA-US-VA-CERES","false",262,470,6533497,
18877,"24318","STANDARD","NEBO","VA","NOT ACCEPTABLE",37.01,-81.35,0.12,-0.78,0.60,"NA","US","Nebo, VA","NA-US-VA-NEBO","false",262,470,6533497,
18878,"24531","STANDARD","CHATHAM","VA","PRIMARY",36.81,-79.39,0.14,-0.78,0.59,"NA","US","Chatham, VA","NA-US-VA-CHATHAM","false",3689,6602,104871806,
18879,"24072","STANDARD","CHECK","VA","PRIMARY",37.05,-80.18,0.13,-0.78,0.60,"NA","US","Check, VA","NA-US-VA-CHECK","false",563,1043,18943208,
18880,"24072","STANDARD","SIMPSONS","VA","ACCEPTABLE",37.05,-80.18,0.13,-0.78,0.60,"NA","US","Simpsons, VA","NA-US-VA-SIMPSONS","false",563,1043,18943208,
18881,"24319","STANDARD","CHILHOWIE","VA","PRIMARY",36.80,-81.68,0.11,-0.79,0.59,"NA","US","Chilhowie, VA","NA-US-VA-CHILHOWIE","false",3154,5886,92313637,
18882,"24068","PO BOX","CHRISTIANSBURG","VA","PRIMARY",37.14,-80.40,0.13,-0.78,0.60,"NA","US","Christiansburg, VA","NA-US-VA-CHRISTIANSBURG","false",538,875,15781170,
18883,"24068","PO BOX","CHRISTIANSBRG","VA","ACCEPTABLE",37.14,-80.40,0.13,-0.78,0.60,"NA","US","Christiansbrg, VA","NA-US-VA-CHRISTIANSBRG","false",538,875,15781170,
18884,"24073","STANDARD","CHRISTIANSBURG","VA","PRIMARY",37.14,-80.40,0.13,-0.78,0.60,"NA","US","Christiansburg, VA","NA-US-VA-CHRISTIANSBURG","false",13101,23032,479491366,
18885,"24073","STANDARD","CHRISTIANSBRG","VA","ACCEPTABLE",37.14,-80.40,0.13,-0.78,0.60,"NA","US","Christiansbrg, VA","NA-US-VA-CHRISTIANSBRG","false",13101,23032,479491366,
18886,"24073","STANDARD","CAMBRIA","VA","NOT ACCEPTABLE",37.14,-80.40,0.13,-0.78,0.60,"NA","US","Cambria, VA","NA-US-VA-CAMBRIA","false",13101,23032,479491366,
18887,"24073","STANDARD","CHRISTNSBRG","VA","NOT ACCEPTABLE",37.14,-80.40,0.13,-0.78,0.60,"NA","US","Christnsbrg, VA","NA-US-VA-CHRISTNSBRG","false",13101,23032,479491366,
18888,"24073","STANDARD","PRICES FORK","VA","NOT ACCEPTABLE",37.14,-80.40,0.13,-0.78,0.60,"NA","US","Prices Fork, VA","NA-US-VA-PRICES FORK","false",13101,23032,479491366,
18889,"24076","STANDARD","CLAUDVILLE","VA","PRIMARY",36.59,-80.42,0.13,-0.79,0.59,"NA","US","Claudville, VA","NA-US-VA-CLAUDVILLE","false",455,851,13079529,
18890,"24225","STANDARD","CLEVELAND","VA","PRIMARY",36.94,-82.15,0.10,-0.79,0.60,"NA","US","Cleveland, VA","NA-US-VA-CLEVELAND","false",652,1219,18219086,
18891,"24533","PO BOX","CLIFFORD","VA","PRIMARY",37.65,-79.03,0.15,-0.77,0.61,"NA","US","Clifford, VA","NA-US-VA-CLIFFORD","false",,,,
18892,"24226","STANDARD","CLINCHCO","VA","PRIMARY",37.12,-82.33,0.10,-0.79,0.60,"NA","US","Clinchco, VA","NA-US-VA-CLINCHCO","false",499,990,15828826,
18893,"24269","STANDARD","MC CLURE","VA","PRIMARY",37.08,-82.38,0.10,-0.79,0.60,"NA","US","Mc Clure, VA","NA-US-VA-MC CLURE","false",,,,
18894,"24269","STANDARD","MCCLURE","VA","NOT ACCEPTABLE",37.08,-82.38,0.10,-0.79,0.60,"NA","US","Mcclure, VA","NA-US-VA-MCCLURE","false",,,,
18895,"24228","STANDARD","CLINTWOOD","VA","PRIMARY",37.15,-82.45,0.10,-0.79,0.60,"NA","US","Clintwood, VA","NA-US-VA-CLINTWOOD","false",2654,4986,84001885,
18896,"24228","STANDARD","HONEYCAMP","VA","NOT ACCEPTABLE",37.15,-82.45,0.10,-0.79,0.60,"NA","US","Honeycamp, VA","NA-US-VA-HONEYCAMP","false",2654,4986,84001885,
18897,"24534","STANDARD","CLOVER","VA","PRIMARY",36.83,-78.73,0.15,-0.78,0.59,"NA","US","Clover, VA","NA-US-VA-CLOVER","false",738,1349,19262926,
18898,"24077","STANDARD","CLOVERDALE","VA","PRIMARY",37.35,-79.90,0.13,-0.78,0.60,"NA","US","Cloverdale, VA","NA-US-VA-CLOVERDALE","false",588,1012,23154552,
18899,"24535","PO BOX","CLUSTER SPRINGS","VA","PRIMARY",36.61,-78.91,0.15,-0.78,0.59,"NA","US","Cluster Springs, VA","NA-US-VA-CLUSTER SPRINGS","false",,,,
18900,"24535","PO BOX","CLUSTER SPGS","VA","ACCEPTABLE",36.61,-78.91,0.15,-0.78,0.59,"NA","US","Cluster Spgs, VA","NA-US-VA-CLUSTER SPGS","false",,,,
18901,"24230","STANDARD","COEBURN","VA","PRIMARY",36.94,-82.46,0.10,-0.79,0.60,"NA","US","Coeburn, VA","NA-US-VA-COEBURN","false",3316,6249,98998427,
18902,"24536","STANDARD","COLEMAN FALLS","VA","PRIMARY",37.50,-79.33,0.14,-0.77,0.60,"NA","US","Coleman Falls, VA","NA-US-VA-COLEMAN FALLS","false",,,,
18903,"24078","STANDARD","COLLINSVILLE","VA","PRIMARY",36.72,-79.91,0.14,-0.78,0.59,"NA","US","Collinsville, VA","NA-US-VA-COLLINSVILLE","false",3218,5743,88948965,
18904,"24538","STANDARD","CONCORD","VA","PRIMARY",37.35,-78.98,0.15,-0.78,0.60,"NA","US","Concord, VA","NA-US-VA-CONCORD","false",2024,3769,71386691,
18905,"24079","STANDARD","COPPER HILL","VA","PRIMARY",37.08,-80.13,0.13,-0.78,0.60,"NA","US","Copper Hill, VA","NA-US-VA-COPPER HILL","false",731,1312,22166969,
18906,"24079","STANDARD","KINGS STORE","VA","NOT ACCEPTABLE",37.08,-80.13,0.13,-0.78,0.60,"NA","US","Kings Store, VA","NA-US-VA-KINGS STORE","false",731,1312,22166969,
18907,"24322","STANDARD","CRIPPLE CREEK","VA","PRIMARY",36.81,-81.10,0.12,-0.79,0.59,"NA","US","Cripple Creek, VA","NA-US-VA-CRIPPLE CREEK","false",,,,
18908,"24082","STANDARD","CRITZ","VA","PRIMARY",36.63,-80.15,0.13,-0.79,0.59,"NA","US","Critz, VA","NA-US-VA-CRITZ","false",,,,
18909,"24323","STANDARD","CROCKETT","VA","PRIMARY",36.88,-81.18,0.12,-0.79,0.60,"NA","US","Crockett, VA","NA-US-VA-CROCKETT","false",309,557,8385319,
18910,"24539","STANDARD","CRYSTAL HILL","VA","PRIMARY",36.85,-78.90,0.15,-0.78,0.59,"NA","US","Crystal Hill, VA","NA-US-VA-CRYSTAL HILL","false",,,,
18911,"24083","STANDARD","DALEVILLE","VA","PRIMARY",37.41,-79.92,0.13,-0.78,0.60,"NA","US","Daleville, VA","NA-US-VA-DALEVILLE","false",1669,3045,84583166,
18912,"24236","STANDARD","DAMASCUS","VA","PRIMARY",36.63,-81.78,0.11,-0.79,0.59,"NA","US","Damascus, VA","NA-US-VA-DAMASCUS","false",1285,2275,34243062,
18913,"24237","STANDARD","DANTE","VA","PRIMARY",36.98,-82.29,0.10,-0.79,0.60,"NA","US","Dante, VA","NA-US-VA-DANTE","false",403,760,9139709,
18914,"24237","STANDARD","TRAMMEL","VA","ACCEPTABLE",36.98,-82.29,0.10,-0.79,0.60,"NA","US","Trammel, VA","NA-US-VA-TRAMMEL","false",403,760,9139709,
18915,"24540","STANDARD","DANVILLE","VA","PRIMARY",36.58,-79.40,0.14,-0.78,0.59,"NA","US","Danville, VA","NA-US-VA-DANVILLE","false",13869,24307,382938615,
18916,"24541","STANDARD","DANVILLE","VA","PRIMARY",36.58,-79.40,0.14,-0.78,0.59,"NA","US","Danville, VA","NA-US-VA-DANVILLE","false",12241,21053,352550953,
18917,"24541","STANDARD","SCHOOLFIELD","VA","NOT ACCEPTABLE",36.58,-79.40,0.14,-0.78,0.59,"NA","US","Schoolfield, VA","NA-US-VA-SCHOOLFIELD","false",12241,21053,352550953,
18918,"24543","PO BOX","DANVILLE","VA","PRIMARY",36.58,-79.40,0.14,-0.78,0.59,"NA","US","Danville, VA","NA-US-VA-DANVILLE","false",475,746,14637517,
18919,"24217","STANDARD","BEE","VA","PRIMARY",37.08,-82.19,0.10,-0.79,0.60,"NA","US","Bee, VA","NA-US-VA-BEE","false",,,,
18920,"24239","STANDARD","DAVENPORT","VA","PRIMARY",37.10,-82.13,0.10,-0.79,0.60,"NA","US","Davenport, VA","NA-US-VA-DAVENPORT","false",,,,
18921,"24612","PO BOX","DORAN","VA","PRIMARY",37.13,-81.81,0.11,-0.78,0.60,"NA","US","Doran, VA","NA-US-VA-DORAN","false",367,674,9324651,
18922,"24324","STANDARD","DRAPER","VA","PRIMARY",37.00,-80.76,0.12,-0.78,0.60,"NA","US","Draper, VA","NA-US-VA-DRAPER","false",945,1772,35477208,
18923,"24243","STANDARD","DRYDEN","VA","PRIMARY",36.77,-82.94,0.09,-0.79,0.59,"NA","US","Dryden, VA","NA-US-VA-DRYDEN","false",865,1679,25814955,
18924,"24549","STANDARD","DRY FORK","VA","PRIMARY",36.75,-79.41,0.14,-0.78,0.59,"NA","US","Dry Fork, VA","NA-US-VA-DRY FORK","false",1814,3454,57155493,
18925,"24084","STANDARD","DUBLIN","VA","PRIMARY",37.10,-80.68,0.12,-0.78,0.60,"NA","US","Dublin, VA","NA-US-VA-DUBLIN","false",4823,8512,159383717,
18926,"24244","STANDARD","DUFFIELD","VA","PRIMARY",36.71,-82.79,0.10,-0.79,0.59,"NA","US","Duffield, VA","NA-US-VA-DUFFIELD","false",1989,3735,57564446,
18927,"24244","STANDARD","CLINCHPORT","VA","ACCEPTABLE",36.71,-82.79,0.10,-0.79,0.59,"NA","US","Clinchport, VA","NA-US-VA-CLINCHPORT","false",1989,3735,57564446,
18928,"24325","STANDARD","DUGSPUR","VA","PRIMARY",36.81,-80.61,0.13,-0.78,0.59,"NA","US","Dugspur, VA","NA-US-VA-DUGSPUR","false",390,719,10300257,
18929,"24245","STANDARD","DUNGANNON","VA","PRIMARY",36.82,-82.46,0.10,-0.79,0.59,"NA","US","Dungannon, VA","NA-US-VA-DUNGANNON","false",384,723,10636592,
18930,"24085","STANDARD","EAGLE ROCK","VA","PRIMARY",37.63,-79.80,0.14,-0.77,0.61,"NA","US","Eagle Rock, VA","NA-US-VA-EAGLE ROCK","false",903,1648,30684275,
18931,"24246","PO BOX","EAST STONE GAP","VA","PRIMARY",36.86,-82.72,0.10,-0.79,0.59,"NA","US","East Stone Gap, VA","NA-US-VA-EAST STONE GAP","false",282,525,6975934,
