"RecordNumber","Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Xaxis","Yaxis","Zaxis","WorldRegion","Country","LocationText","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages","Notes"
18791,"24210","STANDARD","ABINGDON","VA","PRIMARY",36.70,-81.96,0.11,-0.79,0.59,"NA","US","Abingdon, VA","NA-US-VA-ABINGDON","false",6625,11650,209764102,
18792,"24210","STANDARD","OSCEOLA","VA","NOT ACCEPTABLE",36.70,-81.96,0.11,-0.79,0.59,"NA","US","Osceola, VA","NA-US-VA-OSCEOLA","false",6625,11650,209764102,
18793,"24211","STANDARD","ABINGDON","VA","PRIMARY",36.70,-81.96,0.11,-0.79,0.59,"NA","US","Abingdon, VA","NA-US-VA-ABINGDON","false",4155,7605,171239817,
18794,"24212","PO BOX","ABINGDON","VA","PRIMARY",36.70,-81.96,0.11,-0.79,0.59,"NA","US","Abingdon, VA","NA-US-VA-ABINGDON","false",952,1616,34202741,
18795,"24517","STANDARD","ALTAVISTA","VA","PRIMARY",37.12,-79.28,0.14,-0.78,0.60,"NA","US","Altavista, VA","NA-US-VA-ALTAVISTA","false",2482,4383,75111226,
18796,"24520","STANDARD","ALTON","VA","PRIMARY",36.56,-79.00,0.15,-0.78,0.59,"NA","US","Alton, VA","NA-US-VA-ALTON","false",970,1808,27897551,
18797,"24521","STANDARD","AMHERST","VA","PRIMARY",37.58,-79.05,0.15,-0.77,0.60,"NA","US","Amherst, VA","NA-US-VA-AMHERST","false",4402,8008,152874711,
18798,"24521","STANDARD","FALCONERVILLE","VA","NOT ACCEPTABLE",37.58,-79.05,0.15,-0.77,0.60,"NA","US","Falconerville, VA","NA-US-VA-FALCONERVILLE","false",4402,8008,152874711,
18799,"24595","PO BOX","SWEET BRIAR","VA","PRIMARY",37.56,-79.05,0.15,-0.77,0.60,"NA","US","Sweet Briar, VA","NA-US-VA-SWEET BRIAR","false",,,,
18800,"24601","PO BOX","AMONATE","VA","PRIMARY",37.18,-81.65,0.11,-0.78,0.60,"NA","US","Amonate, VA","NA-US-VA-AMONATE","false",,,,
18801,"24215","PO BOX","ANDOVER","VA","PRIMARY",36.94,-82.78,0.10,-0.79,0.60,"NA","US","Andover, VA","NA-US-VA-ANDOVER","false",,,,
18802,"24216","STANDARD","APPALACHIA","VA","PRIMARY",36.90,-82.78,0.10,-0.79,0.60,"NA","US","Appalachia, VA","NA-US-VA-APPALACHIA","false",990,1796,27224708,
18803,"24216","STANDARD","EXETER","VA","ACCEPTABLE",36.90,-82.78,0.10,-0.79,0.60,"NA","US","Exeter, VA","NA-US-VA-EXETER","false",990,1796,27224708,
18804,"24216","STANDARD","STONEGA","VA","ACCEPTABLE",36.90,-82.78,0.10,-0.79,0.60,"NA","US","Stonega, VA","NA-US-VA-STONEGA","false",990,1796,27224708,
18805,"24522","STANDARD","APPOMATTOX","VA","PRIMARY",37.35,-78.82,0.15,-0.77,0.60,"NA","US","Appomattox, VA","NA-US-VA-APPOMATTOX","false",4324,7853,141050262,
18806,"24053","STANDARD","ARARAT","VA","PRIMARY",36.60,-80.51,0.13,-0.79,0.59,"NA","US","Ararat, VA","NA-US-VA-ARARAT","false",981,1837,23500829,
18807,"24311","STANDARD","ATKINS","VA","PRIMARY",36.86,-81.39,0.11,-0.79,0.59,"NA","US","Atkins, VA","NA-US-VA-ATKINS","false",891,1633,24616762,
