mission,roll,frame,Photo Date,Photo Time GMT,Center Point Lat,Center Point Lon,Nadir Lat,Nadir Lon,Lens mm,geon,feat,Clouds Percentage,Look Angle,Look Direction,Sun Azimuth,Sun Elevation Angle,camera,film,Camera (uncataloged),caption,Features from Image Detectives (not NASA),RecordType
ISS007,E,16381,20031005,183449,37,-76.5,38.1,-71.7,180,USA-VIRGINIA,"NORFOLK, HAMPTON, NEWPORT NEWS",25,HO,W,220,39,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS009,E,24294,20040923,193146,37,-76,32.9,-83,180,USA-VIRGINIA,"CHESAPEAKE B., HAMPTON, SHIPS",10,HO,NE,229,45,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS011,E,6481,20050521,174021,37.1,-76.4,37,-71.8,800,USA-VIRGINIA,"LANGLEY FIELD, HAMPTON, BAYS",10,HO,W,221,69,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS012,E,19026,20060304,210314,37,-76.3,39.1,-74.5,800,USA-VIRGINIA,"HAMPTON,HAMPTON ROADS",10,42,SW,244,20,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS012,E,17675,20060208,135235,37.1,-76.4,39,-77.3,180,USA-VIRGINIA,"NEWPORT NEWS,HAMPTON",10,34,S,126,17,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS012,E,17674,20060208,135225,37.1,-76.5,39.4,-78,180,USA-VIRGINIA,"NEWPORT NEWS,HAMPTON",10,42,SE,126,16,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS015,E,9325,20070524,135048,36.9,-76.5,36.9,-79.8,800,USA-VIRGINIA,"NANSEMOND R., HAMPTON ROADS",10,48,E,95,43,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS016,E,11070,20071116,133257,37.1,-76.3,37.2,-76.8,800,USA-VIRGINIA,"LANGLEY AFB, HAMPTON",10,10,E,131,17,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS017,E,10049,20080626,180938,36.9,-76.4,36.3,-75.9,400,USA-VIRGINIA,"PORTSMOUTH, CRANEY I., HAMPTON ROADS",10,14,NW,231,71,N2: Nikon D2Xs,"4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter.",,,,CatalogedWithCenterPoint
ISS017,E,10048,20080626,180937,36.9,-76.3,36.4,-75.9,400,USA-VIRGINIA,"HAMPTON ROADS,NORFOLK, NAVAL AIR STATION",10,12,NW,231,71,N2: Nikon D2Xs,"4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter.",,,,CatalogedWithCenterPoint
ISS017,E,10047,20080626,180935,37,-76.4,36.5,-76,400,USA-VIRGINIA,"NEWPORT NEWS, HAMPTON ROADS",10,12,NW,230,71,N2: Nikon D2Xs,"4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter.",,,,CatalogedWithCenterPoint
ISS017,E,10046,20080626,180933,37,-76.4,36.6,-76.1,400,USA-VIRGINIA,"NEWPORT NEWS, HAMPTON ROADS, NORFOLK",10,9,NW,230,71,N2: Nikon D2Xs,"4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter.",,,,CatalogedWithCenterPoint
ISS017,E,10045,20080626,180932,37,-76.4,36.6,-76.2,400,USA-VIRGINIA,"NEWPORT NEWS, JAMES R., HAMPTON",10,8,NW,230,71,N2: Nikon D2Xs,"4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter.",,,,CatalogedWithCenterPoint
ISS017,E,5807,20080501,170534,37.1,-76.3,35.8,-75,800,USA-VIRGINIA,"HAMPTON,LANGLEY AIR FORCE BASE",10,32,NW,186,70,N2: Nikon D2Xs,"4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter.",,,,CatalogedWithCenterPoint
ISS020,E,8319,20090609,132356,36.9,-76.3,38,-75.1,400,USA-VIRGINIA,"NORFOLK NAS, HAMPTON ROADS, CRANEY I.",10,28,SW,92,42,N2: Nikon D2Xs,"4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter.",,,,CatalogedWithCenterPoint
ISS020,E,8318,20090609,132355,37,-76.3,37.9,-75.2,400,USA-VIRGINIA,"NEWPORT NEWS, HAMPTON ROADS, LANGLEY AFB",10,25,SW,92,42,N2: Nikon D2Xs,"4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter.",,,,CatalogedWithCenterPoint
ISS020,E,8317,20090609,132354,36.9,-76.3,37.9,-75.2,400,USA-VIRGINIA,"NORFOLK NAS, HAMPTON ROADS, CRANEY I.",10,26,SW,92,42,N2: Nikon D2Xs,"4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter.",,,,CatalogedWithCenterPoint
ISS020,E,7923,20090609,132401,37,-76.3,38.2,-74.8,800,USA-VIRGINIA,"HAMPTON, BACK R., CHESAPEAKE BAY",10,32,SW,92,42,N3: Nikon D3,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,,CatalogedWithCenterPoint
ISS020,E,7922,20090609,132400,37,-76.4,38.1,-74.9,800,USA-VIRGINIA,"NEWPORT NEWS, HAMPTON ROADS",10,31,SW,92,42,N3: Nikon D3,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,,CatalogedWithCenterPoint
ISS020,E,7921,20090609,132359,37.1,-76.3,38.1,-74.9,800,USA-VIRGINIA,"HAMPTON, LANGLEY AFB, BACK RIVER",10,29,SW,92,42,N3: Nikon D3,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,,CatalogedWithCenterPoint
ISS020,E,5401,20090530,170634,37.1,-76.4,35.7,-74,800,USA-VIRGINIA,"BIG SALT MARSH, LANGLEY AFB, HAMPTON",10,42,NW,193,76,N3: Nikon D3,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,,CatalogedWithCenterPoint
ISS020,E,5400,20090530,170632,37,-76.4,35.6,-74.1,800,USA-VIRGINIA,"HAMPTON ROADS, LANGLEY AFB",10,41,NW,192,76,N3: Nikon D3,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,,CatalogedWithCenterPoint
ISS020,E,5399,20090530,170631,37,-76.4,35.6,-74.2,800,USA-VIRGINIA,"NEWPORT NEWS, HAMPTON ROADS",10,41,NW,192,76,N3: Nikon D3,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,,CatalogedWithCenterPoint
ISS021,E,6332,20091011,181220,37,-76.3,28.5,-70.5,400,USA-VIRGINIA,"HAMPTON ROADS, NORFOLK, CHESAPEAKE B.",10,HO,NW,219,47,N2: Nikon D2Xs,"4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter.",,,,CatalogedWithCenterPoint
ISS022,E,50245,20100127,214747,37,-76.4,35.6,-77.2,800,USA-VIRGINIA,"NEWPORT NEWS, BRIDGES, HAMPTON ROADS, JAMES RIVER ESTUARY",25,28,NE,241,7,N4: Nikon D3X,"6048E: 6048 x 4032 pixel CMOS sensor, 35.9mm x 24.0mm, total pixels: 25.72 million, Nikon FX format.",,,,CatalogedWithCenterPoint
ISS023,E,49178,20100520,163138,36.9,-76.4,39.6,-73.9,800,USA-VIRGINIA,"PORTSMOUTH, CRANEY I., HAMPTON ROADS",10,50,SW,166,70,N5: Nikon D3S,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,,CatalogedWithCenterPoint
ISS023,E,49176,20100520,163136,37,-76.3,39.5,-74,800,USA-VIRGINIA,"NORFOLK NAS, HAMPTON ROADS",10,48,SW,165,70,N5: Nikon D3S,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,,CatalogedWithCenterPoint
ISS023,E,5710,20100318,183708,37.1,-76.4,39.1,-81,180,USA-VIRGINIA,"LANGLEY AFB, HAMPTON, NORFOLK",10,HO,E,205,48,N2: Nikon D2Xs,"4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter.",,,,CatalogedWithCenterPoint
ISS023,E,5707,20100318,183700,37.1,-76.4,38.8,-81.5,180,USA-VIRGINIA,"HAMPTON, LANGLEY AFB, NEWPORT NEWS, NORFOLK",50,HO,E,204,48,N2: Nikon D2Xs,"4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter.",,,,CatalogedWithCenterPoint
ISS023,E,5706,20100318,183659,37.3,-76,38.7,-81.6,180,USA-VIRGINIA,"NORTHAMPTON, FISHERMAN'S I., CHESAPEAKE B.",50,HO,E,204,48,N2: Nikon D2Xs,"4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter.",,,,CatalogedWithCenterPoint
ISS023,E,5705,20100318,183658,36.9,-76.1,38.7,-81.6,180,USA-VIRGINIA,"VIRGINIA BEACH, NORFOLK, HAMPTON, CHESAPEAKE B.",25,HO,E,204,48,N2: Nikon D2Xs,"4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter.",,,,CatalogedWithCenterPoint
ISS026,E,10833,20101218,22425,37.1,-76.3,36.4,-78.1,180,USA-VIRGINIA,"NORFOLK, HAMPTON AT NIGHT",10,32,E,278,-52,N5: Nikon D3S,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,,CatalogedWithCenterPoint
ISS026,E,10832,20101218,22424,37.1,-76.3,36.3,-78.2,180,USA-VIRGINIA,"NORFOLK, HAMPTON AT NIGHT",10,34,E,278,-52,N5: Nikon D3S,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,,CatalogedWithCenterPoint
ISS030,E,31068,20120105,153223,36.9,-76.4,38.1,-77.2,180,USA-VIRGINIA,PUBLIC INPUTS,10,22,SE,154,25,N2: Nikon D2Xs,"4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter.",,,"NEWPORT NEWS,JAMES RIVER,ELIZABETH RIVER,HAMPTON,WILLOUGHBY BAY,NORTH CAROLINA,CHESAPEAKE,GREAT DISMAL SWAMP,VIRGINIA,HAMPTON ROADS BRIDGE TUNNEL,JAMES RIVER BRIDGE,NORFOLK,LITTLE CREEK,PORTSMOUTH",CatalogedWithCenterPoint
ISS036,E,8467,20130615,212711,37,-76.3,37.8,-73.7,400,USA-VIRGINIA,"HAMPTON ROADS, NORFOLK NAVAL BASE, HAMPTON, CHESAPEAKE B., JAMES R., BRIDGE",25,37,W,277,31,N5: Nikon D3S,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,,CatalogedWithCenterPoint
ISS036,E,8466,20130615,212710,37,-76.3,37.8,-73.8,400,USA-VIRGINIA,"HAMPTON ROADS, NORFOLK NAVAL BASE, HAMPTON, CHESAPEAKE B., JAMES R., BRIDGE",25,36,W,277,31,N5: Nikon D3S,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,,CatalogedWithCenterPoint
ISS036,E,8465,20130615,212708,36.9,-76.2,37.7,-73.9,400,USA-VIRGINIA,"NAS OCEANA, LYNNHAVEN B., CHESAPEAKE B., HAMPTON ROADS, NORFOLK, HAMPTON",25,34,W,277,31,N5: Nikon D3S,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,,CatalogedWithCenterPoint
ISS036,E,8462,20130615,212703,36.9,-76.2,37.5,-74.2,400,USA-VIRGINIA,"NAS OCEANA, C. HENRY, NORFOLK, HAMPTON ROADS, NAVAL BASE, URBAN AREAS",25,30,W,277,31,N5: Nikon D3S,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,,CatalogedWithCenterPoint
ISS036,E,883,20130515,171029,36.9,-76.2,35.2,-75.5,180,USA-VIRGINIA,PUBLIC INPUTS,10,26,N,190,74,,,,,"VIRGINIA, BIG BETHEL RESERVOIR, LANGLEY AIR FORCE BASE, BACK RIVER, JAMES RIVER, ELIZABETH RIVER, VIRGINIA BEACH, NORFOLK, CHESAPEAKE BAY BRIDGE, HAMPTON ROADS BRIDGE, HAMPTON ROADS BELTWAY,MOUTH OF THE CHESAPEAKE BAY, VIRGINIA BEACH, NORFOLK, NEWPORT NEWS, CHESAPEAKE BAY BRIDGE–TUNNEL, FISHERMANS ISLAND, FISHERMANS INLET, ELIZABETH RIVER, JAMES RIVER, GREAT DISMAL SWAMP NWR,NORFOLK, VIRGINIA BEACH, HAMPTON, JANES RIVER,NORFOLK VIRGINIA, CHESAPEAKE BAY BRIDGE,NORFOLK VA",CatalogedWithCenterPoint
ISS036,E,882,20130515,171028,37,-76.3,35.2,-75.6,180,USA-VIRGINIA,PUBLIC INPUTS,10,27,N,190,74,,,,,"VIRGINIA, NEWPORT NEWS, CHESAPEAKE BAY BRIDGE, JAMES RIVER, HAMPTON ROADS BRIDGE, NORFOLK, HAMPTON ROADS BELTWAY, BACK RIVER, ELIZABETH RIVER, BIG BETHEL RESERVOIR, LANGLEY AIR FORCE BASE,MOUTH OF THE CHESAPEAKE BAY, VIRGINIA BEACH, NORFOLK, NEWPORT NEWS, CHESAPEAKE BAY BRIDGE–TUNNEL, FISHERMANS ISLAND, FISHERMANS INLET, ELIZABETH RIVER, JAMES RIVER, GREAT DISMAL SWAMP NWR,NORFOLK, VIRGINIA BEACH, HAMPTON, JANES RIVER,USA, HAMPTON, NORFOLK, CHESAPEAKE, VIRGINIA BEACH, FISHERMAN ISLAND, 36.97,-76.25,HAMPTON VIRGINIA, CHESAPEAKE BAY BRIDGE,NORFOLK VA",CatalogedWithCenterPoint
ISS036,E,880,20130515,170913,37.3,-76.4,38.3,-79.9,180,USA-VIRGINIA,PUBLIC INPUTS,10,45,E,175,71,,,,,"VIRGINIA, YORK RIVER, MOBJACK BAY, CHESAPEAKE BAY, JAMES RIVER, SEAFORD, GLOUCESTER POINT, STONY RUN,VIRGINIA, CHESAPEAKE BAY, NEWPORT NEWS, HAMPTON, JAMES RIVER, YORK RIVER, MOBJACK BAY, GOODWIN ISLANDS, PLUM TREE ISLAND NWR, HILLS BAY, FISHING BAY, STOVE POINT NECK,MOBJACK BAY VA",CatalogedWithCenterPoint
ISS036,E,879,20130515,170911,37.1,-76.1,38.4,-80,180,USA-VIRGINIA,PUBLIC INPUTS,10,48,E,175,71,,,,,"VIRGINIA, CHESAPEAKE BAY BRIDGE, FISHERMANS ISLAND, HAMPTON, HAMPTON ROADS BRIDGE, WILLOUGHBY BAY, JAMES RIVER, CAPE CHARLES,MOUTH OF THE CHESAPEAKE BAY, VIRGINIA BEACH, NORFOLK, NEWPORT NEWS, CHESAPEAKE BAY BRIDGE–TUNNEL, FISHERMANS ISLAND, FISHERMANS INLET, ELIZABETH RIVER, JAMES RIVER,  CAPE CHARLES,HOG ISLAND BAY, CAPE CHARLES, VIRGINIA BEACH, HAMPTON,NORFOLK VIRGINIA, CHESAPEAKE BAY BRIDGE,CAPE CHARLES VA",CatalogedWithCenterPoint
ISS036,E,878,20130515,170911,37,-76.2,38.4,-80,180,USA-VIRGINIA,PUBLIC INPUTS,10,48,E,175,71,,,,,"VIRGINIA, CHESAPEAKE BAY BRIDGE, FISHERMANS ISLAND, HAMPTON, HAMPTON ROADS BRIDGE, WILLOUGHBY BAY, JAMES RIVER, VIRGINIA BEACH, NORFOLK,MOUTH OF THE CHESAPEAKE BAY, VIRGINIA BEACH, NORFOLK, NEWPORT NEWS, CHESAPEAKE BAY BRIDGE–TUNNEL, FISHERMANS ISLAND, FISHERMANS INLET, ELIZABETH RIVER, JAMES RIVER,  CAPE CHARLES,NORFOLK, VIRGINIA BEACH, HAMPTON, JANES RIVER, CAPE CHARLES, HIGHWAY 13, BRIDGE,USA, HAMPTON, NORFOLK, CHESAPEAKE, VIRGINIA BEACH, FISHERMAN ISLAND, 37.04,-76.18,NORFOLK VIRGINIA, CHESAPEAKE BAY BRIDGE,HAMPTON VA",CatalogedWithCenterPoint
ISS036,E,877,20130515,170909,37,-76.2,38.4,-80.2,180,USA-VIRGINIA,PUBLIC INPUTS,10,49,E,174,71,,,,,"VIRGINIA, CHESAPEAKE BAY BRIDGE, FISHERMANS ISLAND, HAMPTON, HAMPTON ROADS BRIDGE, WILLOUGHBY BAY, JAMES RIVER, VIRGINIA BEACH, NORFOLK, ELIZABETH RIVER,MOUTH OF THE CHESAPEAKE BAY, VIRGINIA BEACH, NORFOLK, NEWPORT NEWS, CHESAPEAKE BAY BRIDGE–TUNNEL, FISHERMANS ISLAND, FISHERMANS INLET, ELIZABETH RIVER, JAMES RIVER,  CAPE CHARLES,NORFOLK, VIRGINIA BEACH, HAMPTON, JANES RIVER, CAPE CHARLES, HIGHWAY 13, BRIDGE,USA, HAMPTON, NORFOLK, CHESAPEAKE, VIRGINIA BEACH, FISHERMAN ISLAND, 37.00,-76.19,NORFOLK VIRGINIA, CHESAPEAKE BAY BRIDGE,NORFOLK VA",CatalogedWithCenterPoint
ISS036,E,876,20130515,170908,37,-76.1,38.5,-80.2,180,USA-VIRGINIA,PUBLIC INPUTS,10,50,E,174,71,,,,,"VIRGINIA, CHESAPEAKE BAY BRIDGE, FISHERMANS ISLAND, HAMPTON, HAMPTON ROADS BRIDGE, WILLOUGHBY BAY, JAMES RIVER, VIRGINIA BEACH, NORFOLK, ELIZABETH RIVER,MOUTH OF THE CHESAPEAKE BAY, VIRGINIA BEACH, NORFOLK, NEWPORT NEWS, CHESAPEAKE BAY BRIDGE–TUNNEL, FISHERMANS ISLAND, FISHERMANS INLET, ELIZABETH RIVER, JAMES RIVER,  CAPE CHARLES,NORFOLK, VIRGINIA BEACH, HAMPTON, JANES RIVER, CAPE CHARLES, HIGHWAY 13, BRIDGE,USA, HAMPTON, NORFOLK, CHESAPEAKE, VIRGINIA BEACH, FISHERMAN ISLAND, 37.04,-76.08,HAMPTON VIRGINIA, CHESAPEAKE BAY BRIDGE,VIRGINIA BEACH",CatalogedWithCenterPoint
ISS036,E,825,20130515,171120,38,-76,33,-72.8,50,USA-VIRGINIA,PUBLIC INPUTS,50,HO,NW,203,75,N5: Nikon D3S,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,"NEWPORT NEWS,PETERSBURG,CHESAPEAKE BAY,SUFFOLK,VIRGINIA BEACH,HAMPTON,NORFOLK",CatalogedWithCenterPoint
ISS036,E,814,20130515,171022,36.7,-76.4,35.4,-75.9,50,USA-VIRGINIA,PUBLIC INPUTS,10,20,N,189,74,,,,,"CHESAPEAKE BAY, ALBEMARLE SOUND, NORFOLK, VIRGINIA BEACH,NORTH CAROLINA, VIRGINIA, ALBEMARLE SOUND, CHOWAN RIVER, GREAT DISMAL SWAMP, LAKE DRUMMOND, VIRGINIA BEACH, NORFOLK, JAMES RIVER, FISHERMAN ISLAND, RAPPAHANNOCK RIVER, YORK RIVER, MOBJACK BAY,USA, VIRGINIA, VIRGINIA BEACH, NEWPORT NEWS, HAMPTON, NORFOLK, SUFFOLK, CHESAPEAKE, NORTH CAROLINA, ELIZABETH CITY, 36.71,-76.41,NEWPORT NEWS,USA,VIRGINIA,VIRGINIA BEACH,HAMPTON,NORFOLK",CatalogedWithCenterPoint
ISS036,E,680,20130515,171027,36.8,-76.5,35.2,-75.6,400,USA-VIRGINIA,PUBLIC INPUTS,10,26,NW,190,74,N5: Nikon D3S,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,"HAMPTON ROADS,NANSEMOND RIVER,GREAT DISMAL SWAMP NATIONAL WILDLIFE REFUGE,LAKE DRUMMOND,SUFFOLK",CatalogedWithCenterPoint
ISS036,E,679,20130515,171026,36.8,-76.5,35.3,-75.7,400,USA-VIRGINIA,PUBLIC INPUTS,10,25,NW,190,74,N5: Nikon D3S,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,"HAMPTON ROADS,BREWERS CREEK,CHUCKATUCK CREEK,JAMES RIVER,SUFFOLK,HAMPTON,BRIDGES,NANSEMOND RIVER,WESTERN BRANCH NORTH,CHESAPEAKE,USA,VIRGINIA,NEWPORT NEWS SHIPYARDS,NEWPORT NEWS VA",CatalogedWithCenterPoint
ISS036,E,678,20130515,171025,36.9,-76.5,35.3,-75.7,400,USA-VIRGINIA,PUBLIC INPUTS,10,26,N,189,74,N5: Nikon D3S,"4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format.",,,"HAMPTON ROADS,CHUCKATUCK CREEK,JAMES RIVER,BURWELL BAY,BRIDGES,CHESAPEAKE,VIRGINIA,SOUTH NEWPORT NEWS,USA,NEWPORT NEWS SHIPYARDS,JAMES RIVER BRIDGE,BARTLETT",CatalogedWithCenterPoint
ISS036,E,676,20130515,171023,37,-76.4,35.4,-75.8,400,USA-VIRGINIA,PUBLIC INPUTS,10,24,N,189,74,,,,,"VIRGINIA, HAMPTON ROADS, NAVAL STATION NORFOLD, HAMPTON ROADS BELTWAY, WILLOUGHBY BAY, ELIZABETH RIVER, FORT MONROE MILITARY RESERVATION, MILL CREEK, NORFOLK,NORFOLK, VIRGINIA, USA,USA, VIRGINIA, NORFOLK CY., ATLANTIC OCEAN,NORFOLK VA, HAMPTON VA, NEWPORT NEWS VA, CHESAPEAKE BAY, HAMPTON ROADS, JAMES RIVER, ELIZABETH RIVER, NANSEMOND RIVER, WILLOUGHBY BAY, NAVAL STATION NORFOLK, CHAMBERS FIELD (KNGU), LANGLEY FIELD (KLFI,OCEAN VIEW,BRIDGES,CHESAPEAKE,USA,VIRGINIA,HAMPTON,NORFOLK",CatalogedWithCenterPoint
