mission,roll,frame,Photo Date,Photo Time GMT,Center Point Lat,Center Point Lon,Nadir Lat,Nadir Lon,Lens mm,geon,feat,Clouds Percentage,Look Angle,Look Direction,Sun Azimuth,Sun Elevation Angle,camera,film,Camera (uncataloged),caption,Features from Image Detectives (not NASA),RecordType
ISS004,E,13323,20020419,,37,-76.5,,,330,USA-VIRGINIA,"HAMPTON RHODES AREA,AGR.",10,LO,,,,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,13322,20020419,,37,-76.5,,,160,USA-VIRGINIA,"HAMPTON RHODES AREA,AGR.",10,LO,,,,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,10782,20020429,133528,37,-76,38.3,-85.4,180,USA-VIRGINIA,"HAMPTON ROADS, NORFOLK",10,HO,E,96,32,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,10671,20020427,135245,37,-76,37.7,-78.8,180,USA-VIRGINIA,"NORFOLK, HAMPTON ROADS",10,40,E,104,40,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,10670,20020427,135234,37,-76,37.3,-79.5,180,USA-VIRGINIA,"NORFOLK, HAMPTON ROADS",10,45,E,103,39,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,10669,20020427,135229,37,-76,37,-79.8,180,USA-VIRGINIA,"NORFOLK, HAMPTON ROADS",10,48,E,103,39,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,9633,20020407,213549,37,-76.5,36.3,-78.5,400,USA-VIRGINIA,"HAMPTON ROADS, NORFOLK",10,32,E,261,24,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,9429,20020405,215401,37,-76,32.6,-76.2,180,USA-VIRGINIA,"NORFOLK, HAMPTON ROADS",10,52,N,265,19,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,8070,20020226,20____,37,-76.5,,,340,USA-VIRGINIA,"NORFOLK, HAMPTON ROADS",50,HO,,,,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,8069,20020226,20____,37,-76.5,,,340,USA-VIRGINIA,"NORFOLK, HAMPTON ROADS",50,HO,,,,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,7787,20020211,192146,37,-76,26.9,-85.4,80,USA-VIRGINIA,"HAMPTON ROADS, CHESAPEAKE BAY",10,HO,NE,210,44,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,7786,20020211,192133,37,-76,26.2,-86,80,USA-VIRGINIA,"HAMPTON ROADS, NORFOLK",10,HO,NE,209,45,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS006,E,52123,20030412,171503,37,-76.3,39.8,-69.2,800,USA-VIRGINIA,"HAMPTON ROADS, NORFOLK",10,HO,W,198,58,N1: Nikon D1,"2000E: 2000 x 1312 pixel CCD, RGBG imager color filter.",,,,CatalogedWithCenterPoint
ISS006,E,7655,20021212,180722,37.5,-76,35.9,-81.8,80,USA-VIRGINIA,"CHESAPEAKE BAY, HAMPTON ROADS",50,HO,E,192,30,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS007,E,17668,20031018,200206,36.9,-76.5,43.6,-79,800,USA-VIRGINIA,"HAMPTON ROADS, JAMES RIVER",25,HO,S,229,23,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS007,E,17218,20031013,152342,37,-76.4,35.3,-75.6,800,USA-VIRGINIA,"HAMPTON, NEWPORT NEWS",10,29,N,151,43,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
