mission,roll,frame,Photo Date,Photo Time GMT,Center Point Lat,Center Point Lon,Nadir Lat,Nadir Lon,Lens mm,geon,feat,Clouds Percentage,Look Angle,Look Direction,Sun Azimuth,Sun Elevation Angle,camera,film,Camera (uncataloged),caption,Features from Image Detectives (not NASA),RecordType
ISS003,E,7230,20011031,202228,37,-79.5,36.3,-79.8,800,USA-VIRGINIA,"FORESTED MTS., SMOKE",10,12,N,233,21,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,7114,20011023,163548,38,-76.5,38.3,-80.3,800,USA-VIRGINIA,"PINEY POINT, POTOMAC R.",25,47,E,170,40,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,7113,20011023,163544,38,-76.5,38.1,-80.6,800,USA-VIRGINIA,"SANDY POINT, POTOMAC R.",10,49,E,170,40,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,7111,20011023,163515,36.5,-82.5,37,-82.3,800,USA-VIRGINIA,"CLINCH R., APPALACHIANS",25,9,S,168,41,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6882,20011027,142918,37,-76,38,-72.6,800,USA-VIRGINIA,"CHESAPEAKE, STUMPY LAKE",10,45,W,144,31,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6881,20011027,142910,37,-76,37.7,-73.1,800,USA-VIRGINIA,"CHESAPEAKE, STUMPY LAKE",10,40,W,143,31,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6659,20011015,191001,37,-76.5,37.3,-73.1,800,USA-VIRGINIA,NORFOLK NAS,10,44,W,226,32,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6658,20011015,190956,37,-76.5,37.1,-73.4,800,USA-VIRGINIA,SOUTH NORFOLK/CHESAPEAKE,10,41,W,226,32,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6657,20011015,190948,37,-76.5,36.8,-73.8,800,USA-VIRGINIA,SOUTH NORFOLK/CHESAPEAKE,10,37,W,225,33,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6591,20011012,201711,37,-76,36.2,-73.9,800,USA-VIRGINIA,"NAS OCEANA, CLOUDS",50,32,W,241,23,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6590,20011012,201707,36.5,-76,36,-74.1,800,USA-VIRGINIA,"GREAT BRIDGE AREA, CANAL",10,29,W,240,24,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6589,20011012,201653,36.5,-76,35.4,-74.9,800,USA-VIRGINIA,"FENTRESS ALF AREA, CANAL",10,23,NW,240,24,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6588,20011012,201651,36.5,-76,35.4,-75.1,800,USA-VIRGINIA,"FENTRESS ALF AREA, CANAL",10,22,NW,240,25,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6533,20011011,211041,37,-76,38.8,-77.4,800,USA-VIRGINIA,CHESAPEAKE BAY BRIDGE,10,34,SE,247,15,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6532,20011011,211035,37,-76,38.6,-77.8,800,USA-VIRGINIA,"SOUTH NORFOLK, CANAL,AGR",10,35,SE,247,16,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6531,20011011,211023,36.5,-76,38.1,-78.5,800,USA-VIRGINIA,"SOUTH NORFOLK, FENTRESS",10,41,SE,246,16,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6530,20011011,211017,36.5,-76,37.9,-78.9,800,USA-VIRGINIA,"FENTRESS, SOUTH NORFOLK",10,43,E,246,17,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6529,20011011,211009,37,-76.5,37.5,-79.3,800,USA-VIRGINIA,"CHESAPEAKE,SOUTH NORFOLK",10,40,E,246,17,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6317,20011009,213239,37,-76.5,35.8,-75.7,800,USA-VIRGINIA,"NORFOLK, NEWPORT NEWS",10,23,NW,254,11,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6316,20011009,213230,37,-76,35.4,-76.2,800,USA-VIRGINIA,VIRGINIA BEACH CITY,10,25,N,253,12,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6315,20011009,213224,37,-76,35.1,-76.5,800,USA-VIRGINIA,VIRGINIA BEACH CITY,10,30,N,253,12,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6314,20011009,213216,37,-76,34.8,-77,800,USA-VIRGINIA,VIRGINIA BEACH CITY,10,35,N,252,13,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6313,20011009,213207,37,-76,34.4,-77.5,800,USA-VIRGINIA,OCEANA NAS,10,41,NE,252,13,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,6312,20011009,213203,37,-76,34.2,-77.7,800,USA-VIRGINIA,"CAPE HENRY, DARK",10,43,NE,252,14,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,5729,200109__,,37,-76,,,800,USA-VIRGINIA,"VIRGINIA BEACH, NAS",25,,,,,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,5728,200109__,,37,-76,,,800,USA-VIRGINIA,"VIRGINIA BEACH, NAS",25,,,,,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,5390,200108__,,38,-76.5,,,180,USA-VIRGINIA,PATUXENT RIVER NAS,10,,,,,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS003,E,5389,200108__,,38,-76.5,,,180,USA-VIRGINIA,"RAPPAHANNOCK RIVER, BAY",10,,,,,E2: Kodak DCS460 Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,727,87,2002____,,37,-76,,,250,USA-VIRGINIA,"DELMARVA PEN., BRIDGE, CLOUDS",50,LO,,,,HB: Hasselblad,"5069: Kodak Elite 100S, E6 Reversal, Replaces Lumiere, Warmer in tone vs. Lumiere.",,,,CatalogedWithCenterPoint
ISS004,E,13323,20020419,,37,-76.5,,,330,USA-VIRGINIA,"HAMPTON RHODES AREA,AGR.",10,LO,,,,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,13322,20020419,,37,-76.5,,,160,USA-VIRGINIA,"HAMPTON RHODES AREA,AGR.",10,LO,,,,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,12008,20020517,123830,37,-76,37,-73.9,35,USA-VIRGINIA,MIDDLE ATLANTIC COAST,25,32,W,89,32,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,11764,20020514,135444,37,-76,36,-73.8,180,USA-VIRGINIA,"NORFOLK, VIRGINIA BEACH",10,35,W,102,48,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,11763,20020514,135441,37,-76,36.1,-74,180,USA-VIRGINIA,"NORFOLK, VIRGINIA BEACH",10,33,W,102,47,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,11762,20020514,135434,37,-76,36.4,-74.4,180,USA-VIRGINIA,"NORFOLK, VIRGINIA BEACH",10,27,W,102,47,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,11562,20020508,162500,36.5,-76,36.6,-76.8,185,USA-VIRGINIA,"BACK BAY, MACKAY ISLAND",10,13,E,153,69,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,11561,20020508,162455,36.5,-76,36.8,-77.1,185,USA-VIRGINIA,"BACK BAY, MACKAY ISLAND",10,18,E,153,69,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,11560,20020508,162450,36.5,-76,37,-77.4,185,USA-VIRGINIA,"VIRGINIA BEACH, BACK BAY",10,23,E,152,68,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,11559,20020508,162445,37,-76,37.2,-77.7,185,USA-VIRGINIA,"NORFOLK, VIRGINIA BEACH",10,26,E,152,68,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,11558,20020508,162439,37,-76.5,37.5,-78.1,185,USA-VIRGINIA,"NEWPORT NEWS, LANGLY AFB",10,26,E,151,68,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,11557,20020508,162434,37,-76.5,37.7,-78.4,185,USA-VIRGINIA,"NEWPORT NEWS, LANGLY AFB",10,30,E,151,67,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,11556,20020508,162429,37,-76.5,37.9,-78.7,185,USA-VIRGINIA,"NEWPORT NEWS, LANGLY AFB",10,34,E,150,67,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,11555,20020508,162523,37.5,-76,35.6,-75.5,185,USA-VIRGINIA,DELMARVA PENINSULA,10,30,N,156,70,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,11554,20020508,162517,37.5,-76,35.9,-75.9,185,USA-VIRGINIA,DELMARVA PENINSULA,10,25,N,155,70,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,10782,20020429,133528,37,-76,38.3,-85.4,180,USA-VIRGINIA,"HAMPTON ROADS, NORFOLK",10,HO,E,96,32,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,10671,20020427,135245,37,-76,37.7,-78.8,180,USA-VIRGINIA,"NORFOLK, HAMPTON ROADS",10,40,E,104,40,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
ISS004,E,10670,20020427,135234,37,-76,37.3,-79.5,180,USA-VIRGINIA,"NORFOLK, HAMPTON ROADS",10,45,E,103,39,E4: Kodak DCS760C Electronic Still Camera,"3060E: 3060 x 2036 pixel CCD, RGBG array.",,,,CatalogedWithCenterPoint
