State Abbreviation,State FIPS Code,County FIPS Code,FIPS Entity Code,ANSI Code,GU Name,Entity Description
VA,51,167,69936,02391400,St. Paul,town
VA,51,195,69936,02391400,St. Paul,town
VA,51,079,75008,02391425,Stanardsville,town
VA,51,139,75024,02391426,Stanley,town
VA,51,069,75344,02391428,Stephens City,town
VA,51,183,75840,02391429,Stony Creek,town
VA,51,171,76000,02391430,Strasburg,town
VA,51,141,76256,02391431,Stuart,town
VA,51,181,76880,02391434,Surry,town
VA,51,001,77520,02391438,Tangier,town
VA,51,057,77568,02391439,Tappahannock,town
VA,51,185,77792,02391440,Tazewell,town
VA,51,061,78192,02391443,The Plains,town
VA,51,165,78736,02391446,Timberville,town
VA,51,171,79024,02391447,Toms Brook,town
VA,51,077,79456,02391451,Troutdale,town
VA,51,023,79472,02391452,Troutville,town
VA,51,119,80272,02391458,Urbanna,town
VA,51,111,81024,02391459,Victoria,town
VA,51,059,81072,02391461,Vienna,town
VA,51,161,81280,02391462,Vinton,town
VA,51,083,81312,02391464,Virgilina,town
VA,51,001,82320,02391465,Wachapreague,town
VA,51,183,82384,02391466,Wakefield,town
VA,51,061,83136,02391469,Warrenton,town
VA,51,159,83168,02391470,Warsaw,town
VA,51,157,83248,02391471,Washington,town
VA,51,183,83600,02391473,Waverly,town
VA,51,169,83808,02391475,Weber City,town
VA,51,101,84960,02391480,West Point,town
VA,51,103,85600,02391483,White Stone,town
VA,51,093,86784,02391488,Windsor,town
VA,51,195,87072,02391490,Wise,town
VA,51,171,87712,02391494,Woodstock,town
VA,51,197,88000,02391497,Wytheville,town
VA,51,000,00000,01779803,Virginia,
