POSTALCODE,STATE,STFIPS,Percent with at least 3Mbps,PC_NAME,PA_NAME,PA_FIPS,COUNTY,CTYFIPS
22572,VA,51,74.9,WARSAW,WARSAW,83168,RICHMOND,159
22405,VA,51,74.7,FREDERICKSBURG,FREDERICKSBURG,,STAFFORD,179
22556,VA,51,74.7,STAFFORD,STAFFORD,,STAFFORD,179
22485,VA,51,74.7,KING GEORGE,KING GEORGE,42568,KING GEORGE,99
22656,VA,51,74.7,STEPHENSON,STEPHENSON,75360,FREDERICK,69
22427,VA,51,74.7,BOWLING GREEN,BOWLING GREEN,8888,CAROLINE,33
22630,VA,51,74.7,FRONT ROYAL,FRONT ROYAL,29968,WARREN,187
22715,VA,51,74.6,BRIGHTWOOD,BRIGHTWOOD,9752,MADISON,113
22504,VA,51,74.5,LANEVIEW,LANEVIEW,43832,ESSEX,57
23237,VA,51,74.4,RICHMOND,RICHMOND,,CHESTERFIELD,41
23050,VA,51,74.4,DUTTON,DUTTON,24080,GLOUCESTER,73
23308,VA,51,74.2,BLOXOM,BLOXOM,8120,ACCOMACK,1
24138,VA,51,74.1,PILOT,PILOT,62232,MONTGOMERY,121
22980,VA,51,74,WAYNESBORO,WAYNESBORO,83680,WAYNESBORO CITY,820
22535,VA,51,73.9,PORT ROYAL,PORT ROYAL,63928,CAROLINE,33
24377,VA,51,73.8,TANNERSVILLE,TANNERSVILLE,77552,TAZEWELL,185
24250,VA,51,73.7,FORT BLACKMORE,FORT BLACKMORE,29024,SCOTT,169
24553,VA,51,73.6,GLADSTONE,GLADSTONE,31088,NELSON,125
24556,VA,51,73.6,GOODE,GOODE,31840,BEDFORD,19
23845,VA,51,73.2,EBONY,EBONY,24816,BRUNSWICK,25
23337,VA,51,73.1,WALLOPS ISLAND,WALLOPS ISLAND,,ACCOMACK,1
23111,VA,51,73.1,MECHANICSVILLE,MECHANICSVILLE,50856,HANOVER,85
22709,VA,51,73.1,ARODA,ARODA,3192,MADISON,113
22967,VA,51,73.1,ROSELAND,ROSELAND,68944,NELSON,125
24067,VA,51,72.9,CALLAWAY,CALLAWAY,12200,FRANKLIN,67
23418,VA,51,72.9,ONLEY,ONLEY,59384,ACCOMACK,1
23180,VA,51,72.8,WATER VIEW,WATER VIEW,83504,MIDDLESEX,119
22436,VA,51,72.6,CARET,CARET,13000,ESSEX,57
22520,VA,51,72.6,MONTROSS,MONTROSS,52952,WESTMORELAND,193
22842,VA,51,72.5,MOUNT JACKSON,MOUNT JACKSON,53992,SHENANDOAH,171
24185,VA,51,72.4,WOOLWINE,WOOLWINE,87792,PATRICK,141
22026,VA,51,72.4,DUMFRIES,DUMFRIES,23760,PRINCE WILLIAM,153
22554,VA,51,72.2,STAFFORD,STAFFORD,,STAFFORD,179
24167,VA,51,72.1,STAFFORDSVILLE,STAFFORDSVILLE,74944,GILES,71
24083,VA,51,71.8,DALEVILLE,DALEVILLE,21152,BOTETOURT,23
24072,VA,51,71.7,CHECK,CHECK,,FLOYD,63
24104,VA,51,71.6,HUDDLESTON,HUDDLESTON,38760,BEDFORD,19
20152,VA,51,71.6,CHANTILLY,CHANTILLY,,LOUDOUN,107
23192,VA,51,71.4,MONTPELIER,MONTPELIER,52856,HANOVER,85
23851,VA,51,71.4,FRANKLIN,FRANKLIN,29600,FRANKLIN CITY,620
23915,VA,51,71.2,BASKERVILLE,BASKERVILLE,4856,MECKLENBURG,117
24541,VA,51,70.8,DANVILLE,DANVILLE,21344,DANVILLE CITY,590
22815,VA,51,70.5,BROADWAY,BROADWAY,10040,ROCKINGHAM,165
23838,VA,51,70.5,CHESTERFIELD,CHESTERFIELD,16192,CHESTERFIELD,41
24479,VA,51,70.5,SWOOPE,SWOOPE,77216,AUGUSTA,15
24112,VA,51,70.5,MARTINSVILLE,MARTINSVILLE,49784,MARTINSVILLE CITY,690
20176,VA,51,70.4,LEESBURG,LEESBURG,44984,LOUDOUN,107
24343,VA,51,70.3,HILLSVILLE,HILLSVILLE,37336,CARROLL,35
24549,VA,51,70.1,DRY FORK,DRY FORK,23600,PITTSYLVANIA,143
23035,VA,51,70,COBBS CREEK,COBBS CREEK,17888,MATHEWS,115
24333,VA,51,69.9,GALAX,GALAX,30208,GALAX CITY,640
20166,VA,51,69.6,STERLING,STERLING,75376,LOUDOUN,107
23970,VA,51,69.4,SOUTH HILL,SOUTH HILL,73904,MECKLENBURG,117
22936,VA,51,69.4,EARLYSVILLE,EARLYSVILLE,24272,ALBEMARLE,3
22538,VA,51,68.6,RAPPAHANNOCK ACADEMY,RAPPAHANNOCK ACADEMY,65712,CAROLINE,33
22938,VA,51,68.5,FABER,FABER,26432,NELSON,125
24053,VA,51,68.3,ARARAT,ARARAT,2152,PATRICK,141
22539,VA,51,68.2,REEDVILLE,REEDVILLE,66304,NORTHUMBERLAND,133
24076,VA,51,68,CLAUDVILLE,CLAUDVILLE,17056,PATRICK,141
22712,VA,51,67.9,BEALETON,BEALETON,5336,FAUQUIER,61
24059,VA,51,67.8,BENT MOUNTAIN,BENT MOUNTAIN,6776,ROANOKE,161
23511,VA,51,67.7,NORFOLK,NORFOLK,57000,NORFOLK CITY,710
22546,VA,51,67.5,RUTHER GLEN,RUTHER GLEN,69616,CAROLINE,33
24314,VA,51,67.4,BASTIAN,BASTIAN,4904,BLAND,21
22503,VA,51,67,LANCASTER,LANCASTER,43704,LANCASTER,103
23106,VA,51,66.9,MANQUIN,MANQUIN,49096,KING WILLIAM,101
24613,VA,51,66.7,FALLS MILLS,FALLS MILLS,27232,TAZEWELL,185
24137,VA,51,66.5,PENHOOK,PENHOOK,61464,FRANKLIN,67
22578,VA,51,66.5,WHITE STONE,WHITE STONE,85600,LANCASTER,103
23306,VA,51,66.4,BELLE HAVEN,BELLE HAVEN,5912,ACCOMACK,1
24122,VA,51,66.4,MONTVALE,MONTVALE,52968,BEDFORD,19
23072,VA,51,66.3,HAYES,HAYES,35896,GLOUCESTER,73
24588,VA,51,66.2,RUSTBURG,RUSTBURG,69536,CAMPBELL,31
22482,VA,51,66.1,KILMARNOCK,KILMARNOCK,42424,LANCASTER,103
20132,VA,51,66.1,PURCELLVILLE,PURCELLVILLE,65008,LOUDOUN,107
24529,VA,51,66,BUFFALO JUNCTION,BUFFALO JUNCTION,11112,MECKLENBURG,117
24293,VA,51,65.8,WISE,WISE,87072,WISE,195
22902,VA,51,65.8,CHARLOTTESVILLE,CHARLOTTESVILLE,14968,CHARLOTTESVILLE CITY,540
23005,VA,51,65.8,ASHLAND,ASHLAND,3368,HANOVER,85
24580,VA,51,65.7,NELSON,NELSON,55416,MECKLENBURG,117
22657,VA,51,65.7,STRASBURG,STRASBURG,76000,SHENANDOAH,171
23079,VA,51,65.3,JAMAICA,JAMAICA,40360,MIDDLESEX,119
24477,VA,51,65,STUARTS DRAFT,STUARTS DRAFT,76272,AUGUSTA,15
23960,VA,51,64.9,PROSPECT,PROSPECT,64688,PRINCE EDWARD,147
24245,VA,51,64.9,DUNGANNON,DUNGANNON,23952,SCOTT,169
24060,VA,51,64.8,BLACKSBURG,BLACKSBURG,7784,MONTGOMERY,121
20181,VA,51,64.8,NOKESVILLE,NOKESVILLE,56464,PRINCE WILLIAM,153
22963,VA,51,64.8,PALMYRA,PALMYRA,60392,FLUVANNA,65
22655,VA,51,64.7,STEPHENS CITY,STEPHENS CITY,75344,FREDERICK,69
22824,VA,51,64.6,EDINBURG,EDINBURG,25008,SHENANDOAH,171
22460,VA,51,64.6,FARNHAM,FARNHAM,27456,RICHMOND,159
24324,VA,51,64.5,DRAPER,DRAPER,23408,PULASKI,155
23231,VA,51,64.4,HENRICO,HENRICO,,HENRICO,87
24130,VA,51,64.3,ORISKANY,ORISKANY,59656,BOTETOURT,23
24380,VA,51,64.2,WILLIS,WILLIS,86288,FLOYD,63
24054,VA,51,64.1,AXTON,AXTON,3784,HENRY,89
20187,VA,51,64.1,WARRENTON,WARRENTON,83136,FAUQUIER,61
22903,VA,51,64,CHARLOTTESVILLE,CHARLOTTESVILLE,14968,CHARLOTTESVILLE CITY,540
24079,VA,51,64,COPPER HILL,COPPER HILL,19152,FLOYD,63
23921,VA,51,63.9,BUCKINGHAM,BUCKINGHAM,10840,BUCKINGHAM,29
23175,VA,51,63.9,URBANNA,URBANNA,80272,MIDDLESEX,119
24430,VA,51,63.8,CRAIGSVILLE,CRAIGSVILLE,19904,AUGUSTA,15
23421,VA,51,63.5,PARKSLEY,PARKSLEY,60680,ACCOMACK,1
20105,VA,51,63.2,ALDIE,ALDIE,772,LOUDOUN,107
22624,VA,51,63.2,CLEAR BROOK,CLEAR BROOK,17168,FREDERICK,69
23664,VA,51,63,HAMPTON,HAMPTON,35000,HAMPTON CITY,650
24319,VA,51,62.9,CHILHOWIE,CHILHOWIE,16480,SMYTH,173
24202,VA,51,62.8,BRISTOL,BRISTOL,,WASHINGTON,191
24277,VA,51,62.7,PENNINGTON GAP,PENNINGTON GAP,61560,LEE,105
24175,VA,51,62.5,TROUTVILLE,TROUTVILLE,79472,BOTETOURT,23
22511,VA,51,62.5,LOTTSBURG,LOTTSBURG,47112,NORTHUMBERLAND,133
22551,VA,51,62.5,SPOTSYLVANIA,SPOTSYLVANIA,74464,SPOTSYLVANIA,177
23188,VA,51,62.4,WILLIAMSBURG,WILLIAMSBURG,,JAMES CITY,95
23690,VA,51,62.4,YORKTOWN,YORKTOWN,88240,YORK,199
24550,VA,51,62,EVINGTON,EVINGTON,26336,CAMPBELL,31
24421,VA,51,61.9,CHURCHVILLE,CHURCHVILLE,16736,AUGUSTA,15
24312,VA,51,61.9,AUSTINVILLE,AUSTINVILLE,3656,WYTHE,197
24472,VA,51,61.8,RAPHINE,RAPHINE,65680,ROCKBRIDGE,163
23185,VA,51,61.7,WILLIAMSBURG,WILLIAMSBURG,,JAMES CITY,95
23103,VA,51,61.7,MANAKIN SABOT,MANAKIN SABOT,,GOOCHLAND,75
23420,VA,51,61.6,PAINTER,PAINTER,60296,ACCOMACK,1
22406,VA,51,61.6,FREDERICKSBURG,FREDERICKSBURG,,STAFFORD,179
24088,VA,51,61.1,FERRUM,FERRUM,27712,FRANKLIN,67
22438,VA,51,61,CHAMPLAIN,CHAMPLAIN,14632,ESSEX,57
24382,VA,51,61,WYTHEVILLE,WYTHEVILLE,88000,WYTHE,197
23456,VA,51,61,VIRGINIA BEACH,VIRGINIA BEACH,82000,VIRGINIA BEACH CITY,810
23084,VA,51,60.7,KENTS STORE,KENTS STORE,42024,FLUVANNA,65
23310,VA,51,60.7,CAPE CHARLES,CAPE CHARLES,12808,NORTHAMPTON,131
23139,VA,51,60.7,POWHATAN,POWHATAN,64384,POWHATAN,145
22971,VA,51,60.5,SHIPMAN,SHIPMAN,72080,NELSON,125
24360,VA,51,60.5,MAX MEADOWS,MAX MEADOWS,50312,WYTHE,197
24521,VA,51,60.4,AMHERST,AMHERST,1672,AMHERST,9
24457,VA,51,60.4,LOW MOOR,LOW MOOR,47352,ALLEGHANY,5
24368,VA,51,60.3,RURAL RETREAT,RURAL RETREAT,69456,WYTHE,197
