POSTALCODE,STATE,STFIPS,Percent with at least 3Mbps,PC_NAME,PA_NAME,PA_FIPS,COUNTY,CTYFIPS
24431,VA,51,60.2,CRIMORA,CRIMORA,20240,AUGUSTA,15
20117,VA,51,60.1,MIDDLEBURG,MIDDLEBURG,51448,LOUDOUN,107
22580,VA,51,59.8,WOODFORD,WOODFORD,87360,CAROLINE,33
24087,VA,51,59.7,ELLISTON,ELLISTON,25488,MONTGOMERY,121
24243,VA,51,59.2,DRYDEN,DRYDEN,23584,LEE,105
22560,VA,51,58.7,TAPPAHANNOCK,TAPPAHANNOCK,77568,ESSEX,57
24569,VA,51,58.6,LONG ISLAND,LONG ISLAND,,PITTSYLVANIA,143
24224,VA,51,58.6,CASTLEWOOD,CASTLEWOOD,13512,RUSSELL,167
23434,VA,51,58.5,SUFFOLK,SUFFOLK,76432,SUFFOLK CITY,800
22940,VA,51,58.4,FREE UNION,FREE UNION,29840,ALBEMARLE,3
24128,VA,51,58.4,NEWPORT,NEWPORT,55960,GILES,71
24147,VA,51,58.4,RICH CREEK,RICH CREEK,66896,GILES,71
24102,VA,51,58.3,HENRY,HENRY,36408,FRANKLIN,67
23124,VA,51,57.7,NEW KENT,NEW KENT,55800,NEW KENT,127
24301,VA,51,57.7,PULASKI,PULASKI,64880,PULASKI,155
24504,VA,51,57.6,LYNCHBURG,LYNCHBURG,47672,LYNCHBURG CITY,680
24330,VA,51,57.3,FRIES,FRIES,29920,GRAYSON,77
23433,VA,51,57.3,SUFFOLK,SUFFOLK,76432,SUFFOLK CITY,800
24631,VA,51,57.3,OAKWOOD,OAKWOOD,58632,BUCHANAN,27
22650,VA,51,57.1,RILEYVILLE,RILEYVILLE,67240,PAGE,139
22542,VA,51,57.1,RHOADESVILLE,RHOADESVILLE,66800,ORANGE,137
22079,VA,51,56.9,LORTON,LORTON,47064,FAIRFAX,59
24571,VA,51,56.7,LYNCH STATION,LYNCH STATION,47704,CAMPBELL,31
22845,VA,51,56.7,ORKNEY SPRINGS,ORKNEY SPRINGS,59672,SHENANDOAH,171
24090,VA,51,56.6,FINCASTLE,FINCASTLE,27824,BOTETOURT,23
24120,VA,51,56.2,MEADOWS OF DAN,MEADOWS OF DAN,,PATRICK,141
24244,VA,51,56.2,DUFFIELD,DUFFIELD,23680,SCOTT,169
24281,VA,51,56.1,ROSE HILL,ROSE HILL,68885,LEE,105
22508,VA,51,56.1,LOCUST GROVE,LOCUST GROVE,,ORANGE,137
24105,VA,51,56,INDIAN VALLEY,INDIAN VALLEY,39752,FLOYD,63
23966,VA,51,55.9,RICE,RICE,66832,PRINCE EDWARD,147
24614,VA,51,55.9,GRUNDY,GRUNDY,33648,BUCHANAN,27
24258,VA,51,55.6,HILTONS,HILTONS,37432,SCOTT,169
23015,VA,51,55.5,BEAVERDAM,BEAVERDAM,5448,HANOVER,85
24592,VA,51,55.3,SOUTH BOSTON,SOUTH BOSTON,73712,HALIFAX,83
23140,VA,51,55,PROVIDENCE FORGE,PROVIDENCE FORGE,64784,NEW KENT,127
24599,VA,51,54.9,WINGINA,WINGINA,,BUCKINGHAM,29
23129,VA,51,54.8,OILVILLE,OILVILLE,58904,GOOCHLAND,75
22509,VA,51,54.7,LORETTO,LORETTO,47000,ESSEX,57
20129,VA,51,54.7,PAEONIAN SPRINGS,PAEONIAN SPRINGS,60200,LOUDOUN,107
24558,VA,51,54.5,HALIFAX,HALIFAX,34064,HALIFAX,83
24531,VA,51,54.5,CHATHAM,CHATHAM,15000,PITTSYLVANIA,143
23102,VA,51,54.4,MAIDENS,MAIDENS,48728,GOOCHLAND,75
23146,VA,51,54.3,ROCKVILLE,ROCKVILLE,68464,HANOVER,85
24171,VA,51,54,STUART,STUART,76256,PATRICK,141
24340,VA,51,54,GLADE SPRING,GLADE SPRING,31056,WASHINGTON,191
23009,VA,51,53.9,AYLETT,AYLETT,3800,KING WILLIAM,101
23149,VA,51,53.8,SALUDA,SALUDA,70112,MIDDLESEX,119
22603,VA,51,53.6,WINCHESTER,WINCHESTER,,FREDERICK,69
24210,VA,51,53.5,ABINGDON,ABINGDON,148,WASHINGTON,191
23314,VA,51,53.1,CARROLLTON,CARROLLTON,13160,ISLE OF WIGHT,93
23898,VA,51,53.1,ZUNI,ZUNI,88464,ISLE OF WIGHT,93
23061,VA,51,53.1,GLOUCESTER,GLOUCESTER,31600,GLOUCESTER,73
23665,VA,51,53,HAMPTON,HAMPTON,,YORK,199
24651,VA,51,52.8,TAZEWELL,TAZEWELL,77792,TAZEWELL,185
23089,VA,51,52.8,LANEXA,LANEXA,43848,NEW KENT,127
24637,VA,51,52,POUNDING MILL,POUNDING MILL,64288,TAZEWELL,185
22737,VA,51,52,RIXEYVILLE,RIXEYVILLE,67768,CULPEPER,47
22937,VA,51,51.9,ESMONT,ESMONT,25968,ALBEMARLE,3
23322,VA,51,51.8,CHESAPEAKE,CHESAPEAKE,16000,CHESAPEAKE CITY,550
24590,VA,51,51.7,SCOTTSVILLE,SCOTTSVILLE,70800,ALBEMARLE,3
24354,VA,51,51.6,MARION,MARION,49464,SMYTH,173
22611,VA,51,51.6,BERRYVILLE,BERRYVILLE,6968,CLARKE,43
24133,VA,51,51.3,PATRICK SPRINGS,PATRICK SPRINGS,60984,PATRICK,141
24555,VA,51,51.2,GLASGOW,GLASGOW,31136,ROCKBRIDGE,163
24084,VA,51,51.1,DUBLIN,DUBLIN,23648,PULASKI,155
22473,VA,51,50.7,HEATHSVILLE,HEATHSVILLE,36216,NORTHUMBERLAND,133
22724,VA,51,50.5,JEFFERSONTON,JEFFERSONTON,40680,CULPEPER,47
22810,VA,51,50.3,BASYE,BASYE,4920,SHENANDOAH,171
24221,VA,51,50.1,BLACKWATER,BLACKWATER,7848,LEE,105
23442,VA,51,50.1,TEMPERANCEVILLE,TEMPERANCEVILLE,77856,ACCOMACK,1
23301,VA,51,50,ACCOMAC,ACCOMAC,180,ACCOMACK,1
23460,VA,51,50,VIRGINIA BEACH,VIRGINIA BEACH,82000,VIRGINIA BEACH CITY,810
20186,VA,51,49.9,WARRENTON,WARRENTON,83136,FAUQUIER,61
24162,VA,51,49.8,SHAWSVILLE,SHAWSVILLE,71632,MONTGOMERY,121
23662,VA,51,49.7,POQUOSON,POQUOSON,63768,POQUOSON CITY,735
24459,VA,51,49.4,MIDDLEBROOK,MIDDLEBROOK,51432,AUGUSTA,15
23153,VA,51,49.3,SANDY HOOK,SANDY HOOK,70288,GOOCHLAND,75
24634,VA,51,49.2,PILGRIMS KNOB,PILGRIMS KNOB,,BUCHANAN,27
24348,VA,51,49.2,INDEPENDENCE,INDEPENDENCE,39528,GRAYSON,77
23004,VA,51,49.1,ARVONIA,ARVONIA,3288,BUCKINGHAM,29
23083,VA,51,48.9,JETERSVILLE,JETERSVILLE,40952,AMELIA,7
23842,VA,51,48.6,DISPUTANTA,DISPUTANTA,22640,PRINCE GEORGE,149
23002,VA,51,48.5,AMELIA COURT HOUSE,AMELIA COURT HOUSE,1640,AMELIA,7
23603,VA,51,48.3,NEWPORT NEWS,NEWPORT NEWS,56000,NEWPORT NEWS CITY,700
22534,VA,51,48.1,PARTLOW,PARTLOW,60856,SPOTSYLVANIA,177
23415,VA,51,47.8,NEW CHURCH,NEW CHURCH,55608,ACCOMACK,1
22960,VA,51,47.5,ORANGE,ORANGE,59496,ORANGE,137
23927,VA,51,47.4,CLARKSVILLE,CLARKSVILLE,16992,MECKLENBURG,117
23126,VA,51,47.1,NEWTOWN,NEWTOWN,56144,KING AND QUEEN,97
24527,VA,51,47,BLAIRS,BLAIRS,7944,PITTSYLVANIA,143
23430,VA,51,46.9,SMITHFIELD,SMITHFIELD,73200,ISLE OF WIGHT,93
24649,VA,51,46.8,SWORDS CREEK,SWORDS CREEK,77232,RUSSELL,167
20180,VA,51,46.6,LOVETTSVILLE,LOVETTSVILLE,47208,LOUDOUN,107
22821,VA,51,46.4,DAYTON,DAYTON,21648,ROCKINGHAM,165
23437,VA,51,46.1,SUFFOLK,SUFFOLK,76432,SUFFOLK CITY,800
23069,VA,51,46,HANOVER,HANOVER,35160,HANOVER,85
20119,VA,51,45.8,CATLETT,CATLETT,13624,FAUQUIER,61
24263,VA,51,45.6,JONESVILLE,JONESVILLE,41272,LEE,105
24656,VA,51,45.6,VANSANT,VANSANT,80608,BUCHANAN,27
22642,VA,51,45.5,LINDEN,LINDEN,45880,WARREN,187
23123,VA,51,45.4,NEW CANTON,NEW CANTON,55576,BUCKINGHAM,29
22969,VA,51,45.3,SCHUYLER,SCHUYLER,70704,NELSON,125
23405,VA,51,45.2,MACHIPONGO,MACHIPONGO,48264,NORTHAMPTON,131
24363,VA,51,44.9,MOUTH OF WILSON,MOUTH OF WILSON,54408,GRAYSON,77
23047,VA,51,44.8,DOSWELL,DOSWELL,23120,HANOVER,85
24316,VA,51,44.7,BROADFORD,BROADFORD,,TAZEWELL,185
24270,VA,51,44.1,MENDOTA,MENDOTA,51096,WASHINGTON,191
23901,VA,51,44.1,FARMVILLE,FARMVILLE,27440,PRINCE EDWARD,147
20106,VA,51,44.1,AMISSVILLE,AMISSVILLE,,CULPEPER,47
24248,VA,51,44,EWING,EWING,26384,LEE,105
24292,VA,51,43.9,WHITETOP,WHITETOP,85632,GRAYSON,77
22728,VA,51,43.8,MIDLAND,MIDLAND,51544,FAUQUIER,61
23055,VA,51,43.8,FORK UNION,FORK UNION,28944,FLUVANNA,65
22645,VA,51,43.6,MIDDLETOWN,MIDDLETOWN,51512,FREDERICK,69
22943,VA,51,43.6,GREENWOOD,GREENWOOD,33120,ALBEMARLE,3
20135,VA,51,43.6,BLUEMONT,BLUEMONT,,CLARKE,43
23924,VA,51,43.4,CHASE CITY,CHASE CITY,14984,MECKLENBURG,117
23030,VA,51,43.3,CHARLES CITY,CHARLES CITY,14904,CHARLES CITY,36
23357,VA,51,43.3,GREENBUSH,GREENBUSH,32624,ACCOMACK,1
22973,VA,51,43.3,STANARDSVILLE,STANARDSVILLE,75008,GREENE,79
24165,VA,51,43.1,SPENCER,SPENCER,74368,HENRY,89
23958,VA,51,43.1,PAMPLIN,PAMPLIN,60488,APPOMATTOX,11
24219,VA,51,43,BIG STONE GAP,BIG STONE GAP,7480,WISE,195
24326,VA,51,42.9,ELK CREEK,ELK CREEK,25312,GRAYSON,77
22843,VA,51,42.8,MOUNT SOLON,MOUNT SOLON,54136,AUGUSTA,15
24603,VA,51,42.7,BIG ROCK,BIG ROCK,7448,BUCHANAN,27
23093,VA,51,42.6,LOUISA,LOUISA,47144,LOUISA,109
24450,VA,51,42.5,LEXINGTON,LEXINGTON,45512,LEXINGTON CITY,678
22623,VA,51,42.4,CHESTER GAP,CHESTER GAP,16240,RAPPAHANNOCK,157
22942,VA,51,42.3,GORDONSVILLE,GORDONSVILLE,31936,ORANGE,137
23874,VA,51,42.2,NEWSOMS,NEWSOMS,56096,SOUTHAMPTON,175
23937,VA,51,41.6,DRAKES BRANCH,DRAKES BRANCH,23376,CHARLOTTE,37
23148,VA,51,41.6,SAINT STEPHENS CHURCH,SAINT STEPHENS CHURCH,,KING AND QUEEN,97
23607,VA,51,41.4,NEWPORT NEWS,NEWPORT NEWS,56000,NEWPORT NEWS CITY,700
24266,VA,51,41.4,LEBANON,LEBANON,44696,RUSSELL,167
23032,VA,51,41.3,CHURCH VIEW,CHURCH VIEW,16720,MIDDLESEX,119
24416,VA,51,41.2,BUENA VISTA,BUENA VISTA,11032,BUENA VISTA CITY,530
23920,VA,51,41.2,BRODNAX,BRODNAX,10072,BRUNSWICK,25
24236,VA,51,41.1,DAMASCUS,DAMASCUS,21184,WASHINGTON,191
23508,VA,51,41.1,NORFOLK,NORFOLK,57000,NORFOLK CITY,710
24273,VA,51,41,NORTON,NORTON,57688,NORTON CITY,720
22654,VA,51,41,STAR TANNERY,STAR TANNERY,,FREDERICK,69
22923,VA,51,40.8,BARBOURSVILLE,BARBOURSVILLE,4392,ORANGE,137
24530,VA,51,40.7,CALLANDS,CALLANDS,12152,PITTSYLVANIA,143
23359,VA,51,40.3,HALLWOOD,HALLWOOD,34176,ACCOMACK,1
23837,VA,51,40.2,COURTLAND,COURTLAND,19600,SOUTHAMPTON,175
23040,VA,51,39.9,CUMBERLAND,CUMBERLAND,20768,CUMBERLAND,49
23936,VA,51,39.9,DILLWYN,DILLWYN,22560,BUCKINGHAM,29
23302,VA,51,39.7,ASSAWOMAN,ASSAWOMAN,,ACCOMACK,1
24283,VA,51,39.5,SAINT PAUL,SAINT PAUL,69936,WISE,195
22172,VA,51,39.4,TRIANGLE,TRIANGLE,79360,PRINCE WILLIAM,153
22610,VA,51,39.3,BENTONVILLE,BENTONVILLE,6792,WARREN,187
23022,VA,51,39.3,BREMO BLUFF,BREMO BLUFF,9448,FLUVANNA,65
24265,VA,51,38.6,KEOKEE,KEOKEE,42104,LEE,105
23011,VA,51,38.6,BARHAMSVILLE,BARHAMSVILLE,4504,NEW KENT,127
23947,VA,51,38.5,KEYSVILLE,KEYSVILLE,42264,CHARLOTTE,37
23917,VA,51,38.4,BOYDTON,BOYDTON,9016,MECKLENBURG,117
23177,VA,51,38.3,WALKERTON,WALKERTON,82608,KING AND QUEEN,97
24070,VA,51,38.3,CATAWBA,CATAWBA,13560,ROANOKE,161
22652,VA,51,38.3,FORT VALLEY,FORT VALLEY,,SHENANDOAH,171
24370,VA,51,37.6,SALTVILLE,SALTVILLE,70096,SMYTH,173
24522,VA,51,37.2,APPOMATTOX,APPOMATTOX,2072,APPOMATTOX,11
22514,VA,51,37.2,MILFORD,MILFORD,51832,CAROLINE,33
23023,VA,51,37.2,BRUINGTON,BRUINGTON,10584,KING AND QUEEN,97
22734,VA,51,37,REMINGTON,REMINGTON,66512,FAUQUIER,61
22931,VA,51,37,COVESVILLE,COVESVILLE,19696,ALBEMARLE,3
23856,VA,51,36.9,FREEMAN,FREEMAN,29776,BRUNSWICK,25
24311,VA,51,36.9,ATKINS,ATKINS,3512,SMYTH,173
23117,VA,51,36.8,MINERAL,MINERAL,52120,LOUISA,109
24485,VA,51,36.8,WEST AUGUSTA,WEST AUGUSTA,84144,AUGUSTA,15
23954,VA,51,36.7,MEHERRIN,MEHERRIN,50968,PRINCE EDWARD,147
23963,VA,51,36.5,RED HOUSE,RED HOUSE,,CHARLOTTE,37
22701,VA,51,36.4,CULPEPER,CULPEPER,20752,CULPEPER,47
22932,VA,51,36.3,CROZET,CROZET,20560,ALBEMARLE,3
23830,VA,51,36.2,CARSON,CARSON,13224,DINWIDDIE,53
22641,VA,51,36.2,STRASBURG,STRASBURG,76000,SHENANDOAH,171
23968,VA,51,36.1,SKIPWITH,SKIPWITH,72880,MECKLENBURG,117
22935,VA,51,36.1,DYKE,DYKE,24176,GREENE,79
22735,VA,51,35.7,REVA,REVA,,MADISON,113
23885,VA,51,35.7,SUTHERLAND,SUTHERLAND,76960,DINWIDDIE,53
20137,VA,51,35.7,BROAD RUN,BROAD RUN,10008,FAUQUIER,61
20198,VA,51,35.4,THE PLAINS,THE PLAINS,78192,FAUQUIER,61
24609,VA,51,35.3,CEDAR BLUFF,CEDAR BLUFF,13784,TAZEWELL,185
22644,VA,51,35.2,MAURERTOWN,MAURERTOWN,50200,SHENANDOAH,171
23922,VA,51,35.2,BURKEVILLE,BURKEVILLE,11560,NOTTOWAY,135
23974,VA,51,35.1,VICTORIA,VICTORIA,81024,LUNENBURG,111
24593,VA,51,34.6,SPOUT SPRING,SPOUT SPRING,74496,APPOMATTOX,11
24473,VA,51,34.6,ROCKBRIDGE BATHS,ROCKBRIDGE BATHS,,ROCKBRIDGE,163
23878,VA,51,34.2,SEDLEY,SEDLEY,71040,SOUTHAMPTON,175
24458,VA,51,33.9,MC DOWELL,MC DOWELL,,HIGHLAND,91
23930,VA,51,33.8,CREWE,CREWE,20160,NOTTOWAY,135
24602,VA,51,33.7,BANDY,BANDY,4280,TAZEWELL,185
22720,VA,51,33.6,GOLDVEIN,GOLDVEIN,31776,FAUQUIER,61
23086,VA,51,33.5,KING WILLIAM,KING WILLIAM,42792,KING WILLIAM,101
22742,VA,51,33.5,SUMERDUCK,SUMERDUCK,76544,FAUQUIER,61
22620,VA,51,33.5,BOYCE,BOYCE,8984,CLARKE,43
24347,VA,51,33.4,HIWASSEE,HIWASSEE,37544,PULASKI,155
24435,VA,51,33.3,FAIRFIELD,FAIRFIELD,26656,ROCKBRIDGE,163
23866,VA,51,33.2,IVOR,IVOR,40232,SOUTHAMPTON,175
22602,VA,51,33.2,WINCHESTER,WINCHESTER,,FREDERICK,69
23416,VA,51,33.1,OAK HALL,OAK HALL,58184,ACCOMACK,1
24228,VA,51,33,CLINTWOOD,CLINTWOOD,17552,DICKENSON,51
