Title,URL
A Tapestry of Time and Terrain &#45; the Union of Two Maps &#45; Geology and Topography,http://tapestry.usgs.gov/states/virginia.html
Browse All Data - Virginia Coast Reserve (VCR) Long Term Ecological Reserve (LTER) Data Catalog,http://www.vcrlter.virginia.edu/cgi-bin/browseData.cgi
"""Virginia"" Tags in USGS ScienceBase-Catalog",https://www.sciencebase.gov/catalog/items?q=&filter=tags%3DVirginia
"""VA"" Tags in USGS ScienceBase-Catalog",https://www.sciencebase.gov/catalog/items?q=&filter=tags%3DVA
Password Required,ftp://rockyftp.cr.usgs.gov/vdelivery/Datasets/Staged/MapIndices/Shape/CELLS_51_Virginia_GU_STATEORTERRITORY.jpg
Password Required,ftp://nhdftp.usgs.gov/DataSets/Staged/USTopo_CG/FileGDB/HighResolution/USTopo_Hydrography_VA_511A_931v210.zip
Online topographic maps listing - VT Maps & GIS,http://www.lib.vt.edu/subjects/maps/topolisting.html
