Zip Code,City,County
23301,Accomac,Accomack
23302,Assawoman,Accomack
23303,Atlantic,Accomack
23306,Belle Haven,Accomack
23308,Bloxom,Accomack
23336,Chincoteague Island,Accomack
23337,Wallops Island,Accomack
23341,Craddockville,Accomack
23345,Davis Wharf,Accomack
23356,Greenbackville,Accomack
23357,Greenbush,Accomack
23358,Hacksneck,Accomack
23359,Hallwood,Accomack
23389,Harborton,Accomack
23395,Horntown,Accomack
23396,Oak Hall,Accomack
23399,Jenkins Bridge,Accomack
23401,Keller,Accomack
23404,Locustville,Accomack
23407,Mappsville,Accomack
23409,Mears,Accomack
23410,Melfa,Accomack
23412,Modest Town,Accomack
23414,Nelsonia,Accomack
23415,New Church,Accomack
23416,Oak Hall,Accomack
23417,Onancock,Accomack
23418,Onley,Accomack
23420,Painter,Accomack
23421,Parksley,Accomack
23422,Pungoteague,Accomack
23423,Quinby,Accomack
23426,Sanford,Accomack
23427,Saxis,Accomack
23440,Tangier,Accomack
23441,Tasley,Accomack
23442,Temperanceville,Accomack
23480,Wachapreague,Accomack
23483,Wattsville,Accomack
23488,Withams,Accomack
22901,Charlottesville,Albemarle
22909,Charlottesville,Albemarle
22911,Charlottesville,Albemarle
22924,Batesville,Albemarle
22931,Covesville,Albemarle
22932,Crozet,Albemarle
22936,Earlysville,Albemarle
22937,Esmont,Albemarle
22940,Free Union,Albemarle
22943,Greenwood,Albemarle
22945,Ivy,Albemarle
22946,Keene,Albemarle
22947,Keswick,Albemarle
22959,North Garden,Albemarle
22987,White Hall,Albemarle
24590,Scottsville,Albemarle
22301,Alexandria,Alexandria City
22302,Alexandria,Alexandria City
22304,Alexandria,Alexandria City
22305,Alexandria,Alexandria City
22311,Alexandria,Alexandria City
22313,Alexandria,Alexandria City
22314,Alexandria,Alexandria City
22320,Alexandria,Alexandria City
22331,Alexandria,Alexandria City
22332,Alexandria,Alexandria City
22333,Alexandria,Alexandria City
22334,Alexandria,Alexandria City
22336,Alexandria,Alexandria City
24422,Clifton Forge,Alleghany
24448,Iron Gate,Alleghany
24457,Low Moor,Alleghany
24474,Selma,Alleghany
23002,Amelia Court House,Amelia
23083,Jetersville,Amelia
23105,Mannboro,Amelia
24521,Amherst,Amherst
24533,Clifford,Amherst
24572,Madison Heights,Amherst
24574,Monroe,Amherst
24595,Sweet Briar,Amherst
23939,Evergreen,Appomattox
23958,Pamplin,Appomattox
24522,Appomattox,Appomattox
24593,Spout Spring,Appomattox
22201,Arlington,Arlington
22202,Arlington,Arlington
22203,Arlington,Arlington
22204,Arlington,Arlington
22205,Arlington,Arlington
22206,Arlington,Arlington
22207,Arlington,Arlington
22209,Arlington,Arlington
22210,Arlington,Arlington
22211,Ft Myer,Arlington
22212,Arlington,Arlington
22213,Arlington,Arlington
22214,Arlington,Arlington
22215,Arlington,Arlington
22216,Arlington,Arlington
22217,Arlington,Arlington
22218,Arlington,Arlington
22219,Arlington,Arlington
22222,Arlington,Arlington
22223,Arlington,Arlington
22225,Arlington,Arlington
22226,Arlington,Arlington
22227,Arlington,Arlington
22229,Arlington,Arlington
22230,Arlington,Arlington
22234,Arlington,Arlington
22240,Arlington,Arlington
22241,Arlington,Arlington
22242,Arlington,Arlington
22243,Arlington,Arlington
22244,Arlington,Arlington
22245,Arlington,Arlington
22246,Arlington,Arlington
