zip,stcountyfp,city,state,countyname,classfp
22908,51003,Charlottesville,VA,Albemarle County,H1
24562,51003,Howardsville,VA,Albemarle County,H1
22959,51003,North garden,VA,Albemarle County,H1
22987,51003,White hall,VA,Albemarle County,H1
22937,51003,Esmont,VA,Albemarle County,H1
22931,51003,Covesville,VA,Albemarle County,H1
22974,51003,Troy,VA,Albemarle County,H1
22969,51003,Schuyler,VA,Albemarle County,H1
24590,51003,Scottsville,VA,Albemarle County,H1
22924,51003,Batesville,VA,Albemarle County,H1
24457,51005,Low moor,VA,Alleghany County,H1
24085,51005,Eagle rock,VA,Alleghany County,H1
24422,51005,Clifton forge,VA,Alleghany County,H1
24127,51005,New castle,VA,Alleghany County,H1
24448,51005,Iron gate,VA,Alleghany County,H1
24474,51005,Selma,VA,Alleghany County,H1
24445,51005,Hot springs,VA,Alleghany County,H1
24426,51005,Covington,VA,Alleghany County,H1
23083,51007,Jetersville,VA,Amelia County,H1
23833,51007,Church road,VA,Amelia County,H1
23966,51007,Rice,VA,Amelia County,H1
23105,51007,Mannboro,VA,Amelia County,H1
23002,51007,Amelia court house,VA,Amelia County,H1
23824,51007,Blackstone,VA,Amelia County,H1
23850,51007,Ford,VA,Amelia County,H1
22967,51009,Roseland,VA,Amherst County,H1
22976,51009,Tyro,VA,Amherst County,H1
24572,51009,Madison heights,VA,Amherst County,H1
24483,51009,Vesuvius,VA,Amherst County,H1
22922,51009,Arrington,VA,Amherst County,H1
24521,51009,Amherst,VA,Amherst County,H1
24574,51009,Monroe,VA,Amherst County,H1
24595,51009,Sweet briar,VA,Amherst County,H1
24533,51009,Clifford,VA,Amherst County,H1
24553,51009,Gladstone,VA,Amherst County,H1
24526,51009,Big island,VA,Amherst County,H1
24504,51011,Lynchburg,VA,Appomattox County,H1
24593,51011,Spout spring,VA,Appomattox County,H1
24538,51011,Concord,VA,Appomattox County,H1
23960,51011,Prospect,VA,Appomattox County,H1
23939,51011,Evergreen,VA,Appomattox County,H1
24522,51011,Appomattox,VA,Appomattox County,H1
23958,51011,Pamplin,VA,Appomattox County,H1
23963,51011,Red house,VA,Appomattox County,H1
24553,51011,Gladstone,VA,Appomattox County,H1
22205,51013,Arlington,VA,Arlington County,H1
22230,51013,Arlington,VA,Arlington County,H1
22203,51013,Arlington,VA,Arlington County,H1
22211,51013,Fort myer,VA,Arlington County,H1
20350,51013,Washington,VA,Arlington County,H1
22217,51013,Arlington,VA,Arlington County,H1
20310,51013,Washington,VA,Arlington County,H1
22225,51013,Arlington,VA,Arlington County,H1
22212,51013,Arlington,VA,Arlington County,H1
22101,51013,Mc lean,VA,Arlington County,H1
22202,51013,Arlington,VA,Arlington County,H1
22204,51013,Arlington,VA,Arlington County,H1
22243,51013,Arlington,VA,Arlington County,H1
22046,51013,Falls church,VA,Arlington County,H1
22201,51013,Arlington,VA,Arlington County,H1
22240,51013,Arlington,VA,Arlington County,H1
20598,51013,Dhs,VA,Arlington County,H1
22213,51013,Arlington,VA,Arlington County,H1
22219,51013,Arlington,VA,Arlington County,H1
22214,51013,Arlington,VA,Arlington County,H1
22226,51013,Arlington,VA,Arlington County,H1
22206,51013,Arlington,VA,Arlington County,H1
22207,51013,Arlington,VA,Arlington County,H1
22216,51013,Arlington,VA,Arlington County,H1
22210,51013,Arlington,VA,Arlington County,H1
22242,51013,Arlington,VA,Arlington County,H1
22244,51013,Arlington,VA,Arlington County,H1
20406,51013,Washington,VA,Arlington County,H1
22209,51013,Arlington,VA,Arlington County,H1
20330,51013,Washington,VA,Arlington County,H1
22215,51013,Arlington,VA,Arlington County,H1
20301,51013,Washington,VA,Arlington County,H1
22227,51013,Arlington,VA,Arlington County,H1
22245,51013,Arlington,VA,Arlington County,H1
22241,51013,Arlington,VA,Arlington County,H1
22920,51015,Afton,VA,Augusta County,H1
22967,51015,Roseland,VA,Augusta County,H1
24477,51015,Stuarts draft,VA,Augusta County,H1
24437,51015,Fort defiance,VA,Augusta County,H1
22843,51015,Mount solon,VA,Augusta County,H1
22841,51015,Mount crawford,VA,Augusta County,H1
24467,51015,Mount sidney,VA,Augusta County,H1
24486,51015,Weyers cave,VA,Augusta County,H1
24482,51015,Verona,VA,Augusta County,H1
24483,51015,Vesuvius,VA,Augusta County,H1
24440,51015,Greenville,VA,Augusta County,H1
24463,51015,Mint spring,VA,Augusta County,H1
22812,51015,Bridgewater,VA,Augusta County,H1
22980,51015,Waynesboro,VA,Augusta County,H1
24441,51015,Grottoes,VA,Augusta County,H1
24479,51015,Swoope,VA,Augusta County,H1
22952,51015,Lyndhurst,VA,Augusta County,H1
