zip,countyname,state,stcountyfp,classfp
23301,Accomack County,VA,51001,H1
23302,Accomack County,VA,51001,H1
23303,Accomack County,VA,51001,H1
23306,Accomack County,VA,51001,H1
23308,Accomack County,VA,51001,H1
23336,Accomack County,VA,51001,H1
23337,Accomack County,VA,51001,H1
23341,Accomack County,VA,51001,H1
23350,Accomack County,VA,51001,H1
23356,Accomack County,VA,51001,H1
23357,Accomack County,VA,51001,H1
23358,Accomack County,VA,51001,H1
23359,Accomack County,VA,51001,H1
23389,Accomack County,VA,51001,H1
23395,Accomack County,VA,51001,H1
23401,Accomack County,VA,51001,H1
23404,Accomack County,VA,51001,H1
23407,Accomack County,VA,51001,H1
23409,Accomack County,VA,51001,H1
23410,Accomack County,VA,51001,H1
23414,Accomack County,VA,51001,H1
23415,Accomack County,VA,51001,H1
23416,Accomack County,VA,51001,H1
23417,Accomack County,VA,51001,H1
23418,Accomack County,VA,51001,H1
23420,Accomack County,VA,51001,H1
23421,Accomack County,VA,51001,H1
23422,Accomack County,VA,51001,H1
23423,Accomack County,VA,51001,H1
23426,Accomack County,VA,51001,H1
23427,Accomack County,VA,51001,H1
23440,Accomack County,VA,51001,H1
23441,Accomack County,VA,51001,H1
23442,Accomack County,VA,51001,H1
23480,Accomack County,VA,51001,H1
23488,Accomack County,VA,51001,H1
22901,Albemarle County,VA,51003,H1
22902,Albemarle County,VA,51003,H1
22903,Albemarle County,VA,51003,H1
22904,Albemarle County,VA,51003,H1
22908,Albemarle County,VA,51003,H1
22909,Albemarle County,VA,51003,H1
22911,Albemarle County,VA,51003,H1
22920,Albemarle County,VA,51003,H1
22923,Albemarle County,VA,51003,H1
22924,Albemarle County,VA,51003,H1
22931,Albemarle County,VA,51003,H1
22932,Albemarle County,VA,51003,H1
22935,Albemarle County,VA,51003,H1
22936,Albemarle County,VA,51003,H1
22937,Albemarle County,VA,51003,H1
22938,Albemarle County,VA,51003,H1
22940,Albemarle County,VA,51003,H1
22942,Albemarle County,VA,51003,H1
22943,Albemarle County,VA,51003,H1
22945,Albemarle County,VA,51003,H1
22946,Albemarle County,VA,51003,H1
22947,Albemarle County,VA,51003,H1
22959,Albemarle County,VA,51003,H1
22968,Albemarle County,VA,51003,H1
22969,Albemarle County,VA,51003,H1
22974,Albemarle County,VA,51003,H1
22987,Albemarle County,VA,51003,H1
24562,Albemarle County,VA,51003,H1
24590,Albemarle County,VA,51003,H1
24422,Alleghany County,VA,51005,H1
24426,Alleghany County,VA,51005,H1
24445,Alleghany County,VA,51005,H1
24448,Alleghany County,VA,51005,H1
24457,Alleghany County,VA,51005,H1
24474,Alleghany County,VA,51005,H1
23002,Amelia County,VA,51007,H1
23083,Amelia County,VA,51007,H1
23105,Amelia County,VA,51007,H1
23833,Amelia County,VA,51007,H1
23850,Amelia County,VA,51007,H1
23966,Amelia County,VA,51007,H1
22922,Amherst County,VA,51009,H1
22967,Amherst County,VA,51009,H1
24483,Amherst County,VA,51009,H1
24521,Amherst County,VA,51009,H1
24533,Amherst County,VA,51009,H1
24553,Amherst County,VA,51009,H1
24572,Amherst County,VA,51009,H1
24574,Amherst County,VA,51009,H1
24595,Amherst County,VA,51009,H1
23939,Appomattox County,VA,51011,H1
23958,Appomattox County,VA,51011,H1
23960,Appomattox County,VA,51011,H1
23963,Appomattox County,VA,51011,H1
24504,Appomattox County,VA,51011,H1
24522,Appomattox County,VA,51011,H1
24538,Appomattox County,VA,51011,H1
24553,Appomattox County,VA,51011,H1
24593,Appomattox County,VA,51011,H1
20301,Arlington County,VA,51013,H1
20310,Arlington County,VA,51013,H1
20330,Arlington County,VA,51013,H1
20350,Arlington County,VA,51013,H1
20406,Arlington County,VA,51013,H1
20598,Arlington County,VA,51013,H1
22046,Arlington County,VA,51013,H1
22101,Arlington County,VA,51013,H1
22201,Arlington County,VA,51013,H1
22202,Arlington County,VA,51013,H1
22203,Arlington County,VA,51013,H1
22204,Arlington County,VA,51013,H1
22205,Arlington County,VA,51013,H1
22206,Arlington County,VA,51013,H1
22207,Arlington County,VA,51013,H1
22209,Arlington County,VA,51013,H1
22210,Arlington County,VA,51013,H1
22211,Arlington County,VA,51013,H1
22212,Arlington County,VA,51013,H1
22213,Arlington County,VA,51013,H1
22214,Arlington County,VA,51013,H1
22215,Arlington County,VA,51013,H1
22216,Arlington County,VA,51013,H1
22217,Arlington County,VA,51013,H1
22219,Arlington County,VA,51013,H1
22225,Arlington County,VA,51013,H1
22226,Arlington County,VA,51013,H1
22227,Arlington County,VA,51013,H1
22230,Arlington County,VA,51013,H1
22240,Arlington County,VA,51013,H1
22241,Arlington County,VA,51013,H1
22242,Arlington County,VA,51013,H1
22243,Arlington County,VA,51013,H1
22244,Arlington County,VA,51013,H1
22245,Arlington County,VA,51013,H1
22812,Augusta County,VA,51015,H1
22841,Augusta County,VA,51015,H1
22843,Augusta County,VA,51015,H1
22920,Augusta County,VA,51015,H1
22939,Augusta County,VA,51015,H1
22952,Augusta County,VA,51015,H1
22967,Augusta County,VA,51015,H1
22980,Augusta County,VA,51015,H1
24401,Augusta County,VA,51015,H1
24411,Augusta County,VA,51015,H1
24421,Augusta County,VA,51015,H1
24430,Augusta County,VA,51015,H1
24431,Augusta County,VA,51015,H1
24432,Augusta County,VA,51015,H1
24437,Augusta County,VA,51015,H1
24439,Augusta County,VA,51015,H1
24440,Augusta County,VA,51015,H1
24441,Augusta County,VA,51015,H1
24459,Augusta County,VA,51015,H1
24463,Augusta County,VA,51015,H1
24467,Augusta County,VA,51015,H1
24469,Augusta County,VA,51015,H1
24472,Augusta County,VA,51015,H1
24476,Augusta County,VA,51015,H1
24477,Augusta County,VA,51015,H1
24479,Augusta County,VA,51015,H1
24482,Augusta County,VA,51015,H1
24483,Augusta County,VA,51015,H1
24485,Augusta County,VA,51015,H1
24486,Augusta County,VA,51015,H1
24412,Bath County,VA,51017,H1
24432,Bath County,VA,51017,H1
